代號,名稱,年/月,季底存貨/營收TSE
1815,富喬,2022/12,112.82 
1815,富喬,2022/09,91.56 
1815,富喬,2022/06,84.58 
1815,富喬,2022/03,90.38 
1815,富喬,2021/12,73.10 
1815,富喬,2021/09,57.15 
1815,富喬,2021/06,59.40 
1815,富喬,2021/03,74.45 
1815,富喬,2020/12,106.17 
1815,富喬,2020/09,192.10 
1815,富喬,2020/06,183.50 
1815,富喬,2020/03,142.11 
1815,富喬,2019/12,145.58 
1815,富喬,2019/09,121.95 
1815,富喬,2019/06,101.22 
1815,富喬,2019/03,98.18 
1815,富喬,2018/12,70.36 
1815,富喬,2018/09,54.01 
1815,富喬,2018/06,59.51 
1815,富喬,2018/03,53.88 
2313,華通,2022/12,48.10 
2313,華通,2022/09,52.43 
2313,華通,2022/06,72.69 
2313,華通,2022/03,58.97 
2313,華通,2021/12,46.86 
2313,華通,2021/09,59.49 
2313,華通,2021/06,77.07 
2313,華通,2021/03,61.92 
2313,華通,2020/12,43.42 
2313,華通,2020/09,52.48 
2313,華通,2020/06,63.36 
2313,華通,2020/03,71.12 
2313,華通,2019/12,43.38 
2313,華通,2019/09,50.47 
2313,華通,2019/06,63.63 
2313,華通,2019/03,67.58 
2313,華通,2018/12,47.53 
2313,華通,2018/09,52.85 
2313,華通,2018/06,76.69 
2313,華通,2018/03,67.26 
2316,楠梓電,2022/12,94.86 
2316,楠梓電,2022/09,95.62 
2316,楠梓電,2022/06,91.95 
2316,楠梓電,2022/03,96.43 
2316,楠梓電,2021/12,101.24 
2316,楠梓電,2021/09,91.94 
2316,楠梓電,2021/06,96.62 
2316,楠梓電,2021/03,83.94 
2316,楠梓電,2020/12,74.64 
2316,楠梓電,2020/09,80.34 
2316,楠梓電,2020/06,76.19 
2316,楠梓電,2020/03,87.85 
2316,楠梓電,2019/12,66.27 
2316,楠梓電,2019/09,60.05 
2316,楠梓電,2019/06,61.33 
2316,楠梓電,2019/03,63.77 
2316,楠梓電,2018/12,53.56 
2316,楠梓電,2018/09,58.24 
2316,楠梓電,2018/06,60.62 
2316,楠梓電,2018/03,68.24 
2331,精英,2022/12,60.63 
2331,精英,2022/09,40.21 
2331,精英,2022/06,35.85 
2331,精英,2022/03,60.59 
2331,精英,2021/12,45.03 
2331,精英,2021/09,62.92 
2331,精英,2021/06,64.25 
2331,精英,2021/03,64.24 
2331,精英,2020/12,52.01 
2331,精英,2020/09,47.11 
2331,精英,2020/06,28.53 
2331,精英,2020/03,88.56 
2331,精英,2019/12,38.11 
2331,精英,2019/09,45.51 
2331,精英,2019/06,38.86 
2331,精英,2019/03,56.13 
2331,精英,2018/12,40.90 
2331,精英,2018/09,44.59 
2331,精英,2018/06,47.82 
2331,精英,2018/03,51.84 
2355,敬鵬,2022/12,86.36 
2355,敬鵬,2022/09,102.09 
2355,敬鵬,2022/06,100.48 
2355,敬鵬,2022/03,95.77 
2355,敬鵬,2021/12,89.16 
2355,敬鵬,2021/09,89.37 
2355,敬鵬,2021/06,90.09 
2355,敬鵬,2021/03,74.61 
2355,敬鵬,2020/12,69.27 
2355,敬鵬,2020/09,70.30 
2355,敬鵬,2020/06,94.23 
2355,敬鵬,2020/03,72.44 
2355,敬鵬,2019/12,71.25 
2355,敬鵬,2019/09,70.06 
2355,敬鵬,2019/06,65.81 
2355,敬鵬,2019/03,72.64 
2355,敬鵬,2018/12,82.64 
2355,敬鵬,2018/09,70.79 
2355,敬鵬,2018/06,69.11 
2355,敬鵬,2018/03,69.44 
2367,燿華,2022/12,69.27 
2367,燿華,2022/09,48.96 
2367,燿華,2022/06,68.99 
2367,燿華,2022/03,74.32 
2367,燿華,2021/12,59.74 
2367,燿華,2021/09,78.71 
2367,燿華,2021/06,88.66 
2367,燿華,2021/03,64.93 
2367,燿華,2020/12,41.82 
2367,燿華,2020/09,61.98 
2367,燿華,2020/06,120.39 
2367,燿華,2020/03,72.66 
2367,燿華,2019/12,39.73 
2367,燿華,2019/09,33.74 
2367,燿華,2019/06,35.62 
2367,燿華,2019/03,45.36 
2367,燿華,2018/12,41.23 
2367,燿華,2018/09,45.14 
2367,燿華,2018/06,54.53 
2367,燿華,2018/03,52.97 
2368,金像電,2022/12,66.22 
2368,金像電,2022/09,71.09 
2368,金像電,2022/06,72.29 
2368,金像電,2022/03,73.00 
2368,金像電,2021/12,65.28 
2368,金像電,2021/09,65.99 
2368,金像電,2021/06,68.60 
2368,金像電,2021/03,65.11 
2368,金像電,2020/12,54.86 
2368,金像電,2020/09,50.80 
2368,金像電,2020/06,54.78 
2368,金像電,2020/03,62.75 
2368,金像電,2019/12,48.49 
2368,金像電,2019/09,56.10 
2368,金像電,2019/06,62.78 
2368,金像電,2019/03,64.26 
2368,金像電,2018/12,67.30 
2368,金像電,2018/09,64.20 
2368,金像電,2018/06,67.29 
2368,金像電,2018/03,69.85 
2376,技嘉,2022/12,78.34 
2376,技嘉,2022/09,94.69 
2376,技嘉,2022/06,132.20 
2376,技嘉,2022/03,101.22 
2376,技嘉,2021/12,87.30 
2376,技嘉,2021/09,71.59 
2376,技嘉,2021/06,70.15 
2376,技嘉,2021/03,70.70 
2376,技嘉,2020/12,64.92 
2376,技嘉,2020/09,64.84 
2376,技嘉,2020/06,62.56 
2376,技嘉,2020/03,80.94 
2376,技嘉,2019/12,71.93 
2376,技嘉,2019/09,64.78 
2376,技嘉,2019/06,80.74 
2376,技嘉,2019/03,70.54 
2376,技嘉,2018/12,88.98 
2376,技嘉,2018/09,102.12 
2376,技嘉,2018/06,93.99 
2376,技嘉,2018/03,51.91 
2377,微星,2022/12,71.82 
2377,微星,2022/09,79.51 
2377,微星,2022/06,80.07 
2377,微星,2022/03,87.82 
2377,微星,2021/12,68.64 
2377,微星,2021/09,67.66 
2377,微星,2021/06,69.75 
2377,微星,2021/03,54.63 
2377,微星,2020/12,65.58 
2377,微星,2020/09,62.25 
2377,微星,2020/06,60.47 
2377,微星,2020/03,72.17 
2377,微星,2019/12,70.30 
2377,微星,2019/09,67.00 
2377,微星,2019/06,76.40 
2377,微星,2019/03,72.44 
2377,微星,2018/12,74.12 
2377,微星,2018/09,81.83 
2377,微星,2018/06,80.76 
2377,微星,2018/03,51.31 
2383,台光電,2022/12,47.66 
2383,台光電,2022/09,47.66 
2383,台光電,2022/06,62.06 
2383,台光電,2022/03,55.21 
2383,台光電,2021/12,53.78 
2383,台光電,2021/09,49.51 
2383,台光電,2021/06,50.61 
2383,台光電,2021/03,54.80 
2383,台光電,2020/12,49.25 
2383,台光電,2020/09,52.37 
2383,台光電,2020/06,52.78 
2383,台光電,2020/03,57.27 
2383,台光電,2019/12,42.84 
2383,台光電,2019/09,39.84 
2383,台光電,2019/06,45.89 
2383,台光電,2019/03,47.54 
2383,台光電,2018/12,40.89 
2383,台光電,2018/09,42.36 
2383,台光電,2018/06,45.48 
2383,台光電,2018/03,49.01 
2395,研華,2022/12,81.50 
2395,研華,2022/09,80.25 
2395,研華,2022/06,91.28 
2395,研華,2022/03,95.33 
2395,研華,2021/12,79.51 
2395,研華,2021/09,81.19 
2395,研華,2021/06,75.39 
2395,研華,2021/03,67.21 
2395,研華,2020/12,61.14 
2395,研華,2020/09,65.31 
2395,研華,2020/06,69.16 
2395,研華,2020/03,80.67 
2395,研華,2019/12,57.71 
2395,研華,2019/09,56.24 
2395,研華,2019/06,60.43 
2395,研華,2019/03,66.49 
2395,研華,2018/12,61.12 
2395,研華,2018/09,61.49 
2395,研華,2018/06,56.73 
2395,研華,2018/03,60.04 
2397,友通,2022/12,87.80 
2397,友通,2022/09,99.85 
2397,友通,2022/06,102.52 
2397,友通,2022/03,107.05 
2397,友通,2021/12,84.04 
2397,友通,2021/09,87.14 
2397,友通,2021/06,88.88 
2397,友通,2021/03,78.99 
2397,友通,2020/12,73.03 
2397,友通,2020/09,80.51 
2397,友通,2020/06,84.60 
2397,友通,2020/03,77.13 
2397,友通,2019/12,78.63 
2397,友通,2019/09,61.00 
2397,友通,2019/06,58.41 
2397,友通,2019/03,76.72 
2397,友通,2018/12,75.52 
2397,友通,2018/09,62.32 
2397,友通,2018/06,61.98 
2397,友通,2018/03,75.46 
2399,映泰,2022/12,177.84 
2399,映泰,2022/09,158.28 
2399,映泰,2022/06,202.86 
2399,映泰,2022/03,147.84 
2399,映泰,2021/12,118.32 
2399,映泰,2021/09,114.93 
2399,映泰,2021/06,131.02 
2399,映泰,2021/03,117.75 
2399,映泰,2020/12,104.00 
2399,映泰,2020/09,69.69 
2399,映泰,2020/06,124.16 
2399,映泰,2020/03,105.72 
2399,映泰,2019/12,80.04 
2399,映泰,2019/09,60.84 
2399,映泰,2019/06,254.08 
2399,映泰,2019/03,110.21 
2399,映泰,2018/12,139.80 
2399,映泰,2018/09,119.54 
2399,映泰,2018/06,140.62 
2399,映泰,2018/03,99.47 
2402,毅嘉,2022/12,64.15 
2402,毅嘉,2022/09,61.73 
2402,毅嘉,2022/06,70.24 
2402,毅嘉,2022/03,60.73 
2402,毅嘉,2021/12,65.06 
2402,毅嘉,2021/09,61.83 
2402,毅嘉,2021/06,57.40 
2402,毅嘉,2021/03,58.85 
2402,毅嘉,2020/12,54.07 
2402,毅嘉,2020/09,60.76 
2402,毅嘉,2020/06,67.40 
2402,毅嘉,2020/03,67.59 
2402,毅嘉,2019/12,45.18 
2402,毅嘉,2019/09,39.19 
2402,毅嘉,2019/06,47.37 
2402,毅嘉,2019/03,56.73 
2402,毅嘉,2018/12,45.00 
2402,毅嘉,2018/09,60.51 
2402,毅嘉,2018/06,59.13 
2402,毅嘉,2018/03,66.25 
2417,圓剛,2022/12,113.93 
2417,圓剛,2022/09,119.18 
2417,圓剛,2022/06,107.90 
2417,圓剛,2022/03,131.16 
2417,圓剛,2021/12,128.92 
2417,圓剛,2021/09,130.05 
2417,圓剛,2021/06,122.84 
2417,圓剛,2021/03,124.80 
2417,圓剛,2020/12,61.46 
2417,圓剛,2020/09,43.14 
2417,圓剛,2020/06,54.62 
2417,圓剛,2020/03,67.09 
2417,圓剛,2019/12,64.86 
2417,圓剛,2019/09,63.81 
2417,圓剛,2019/06,70.49 
2417,圓剛,2019/03,79.91 
2417,圓剛,2018/12,71.24 
2417,圓剛,2018/09,63.01 
2417,圓剛,2018/06,60.31 
2417,圓剛,2018/03,80.97 
2425,承啟,2022/12,26.72 
2425,承啟,2022/09,37.48 
2425,承啟,2022/06,33.01 
2425,承啟,2022/03,45.74 
2425,承啟,2021/12,25.92 
2425,承啟,2021/09,25.56 
2425,承啟,2021/06,41.58 
2425,承啟,2021/03,44.55 
2425,承啟,2020/12,17.32 
2425,承啟,2020/09,22.18 
2425,承啟,2020/06,32.25 
2425,承啟,2020/03,114.31 
2425,承啟,2019/12,25.82 
