代號,名稱,年/月,季底存貨/營收TSE
2313,華通,2023/03,69.96 
2313,華通,2023/06,69.67 
2313,華通,2023/09,50.05 
2316,楠梓電,2023/03,127.95 
2316,楠梓電,2023/06,102.07 
2316,楠梓電,2023/09,100.30 
2331,精英,2023/03,70.00 
2331,精英,2023/06,30.35 
2331,精英,2023/09,52.58 
2355,敬鵬,2023/03,90.76 
2355,敬鵬,2023/06,81.77 
2355,敬鵬,2023/09,74.60 
2367,燿華,2023/03,74.50 
2367,燿華,2023/06,58.07 
2367,燿華,2023/09,62.36 
2368,金像電,2023/03,88.10 
2368,金像電,2023/06,75.10 
2368,金像電,2023/09,71.79 
2376,技嘉,2023/03,88.04 
2376,技嘉,2023/06,85.16 
2376,技嘉,2023/09,77.77 
2377,微星,2023/03,66.57 
2377,微星,2023/06,80.05 
2377,微星,2023/09,73.89 
2383,台光電,2023/03,50.66 
2383,台光電,2023/06,43.35 
2383,台光電,2023/09,47.15 
2395,研華,2023/03,76.60 
2395,研華,2023/06,68.27 
2395,研華,2023/09,72.30 
2397,友通,2023/03,92.69 
2397,友通,2023/06,84.60 
2397,友通,2023/09,78.97 
2399,映泰,2023/03,125.16 
2399,映泰,2023/06,154.35 
2399,映泰,2023/09,153.92 
2402,毅嘉,2023/03,61.09 
2402,毅嘉,2023/06,52.07 
2402,毅嘉,2023/09,45.90 
2417,圓剛,2023/03,128.57 
2417,圓剛,2023/06,83.88 
2417,圓剛,2023/09,81.30 
2425,承啟,2023/03,53.25 
2425,承啟,2023/06,48.48 
2425,承啟,2023/09,33.81 
2465,麗臺,2023/03,96.09 
2465,麗臺,2023/06,112.60 
2465,麗臺,2023/09,81.39 
3022,威強電,2023/03,64.34 
3022,威強電,2023/06,70.00 
3022,威強電,2023/09,71.90 
3037,欣興,2023/03,38.52 
3037,欣興,2023/06,37.42 
3037,欣興,2023/09,38.86 
3044,健鼎,2023/03,68.36 
3044,健鼎,2023/06,60.60 
3044,健鼎,2023/09,47.14 
3046,建碁,2023/03,15.80 
3046,建碁,2023/06,9.68 
3046,建碁,2023/09,5.47 
3189,景碩,2023/03,41.60 
3189,景碩,2023/06,38.81 
3189,景碩,2023/09,44.56 
3229,晟鈦,2023/03,40.32 
3229,晟鈦,2023/06,61.82 
3229,晟鈦,2023/09,72.50 
3305,昇貿,2023/03,86.04 
3305,昇貿,2023/06,79.79 
3305,昇貿,2023/09,79.26 
3321,同泰,2023/03,51.04 
3321,同泰,2023/06,40.99 
3321,同泰,2023/09,43.14 
3416,融程電,2023/03,93.71 
3416,融程電,2023/06,81.67 
3416,融程電,2023/09,73.37 
3515,華擎,2023/03,171.14 
3515,華擎,2023/06,175.63 
3515,華擎,2023/09,142.54 
3645,達邁,2023/03,210.61 
