代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
2395,研華,2023/03,39.73 ,12.24 ,39.73 ,12.24 ,1.1224
2395,研華,2023/06,41.19 ,7.92 ,41.19 ,7.92 ,1.0792
2395,研華,2023/09,40.09 ,(11.25),40.09 ,(11.25),0.8875
2367,燿華,2023/03,2.50 ,(40.61),2.50 ,(40.61),0.5939
2367,燿華,2023/06,11.22 ,(29.55),11.22 ,(29.55),0.7045
2367,燿華,2023/09,11.47 ,(53.93),11.47 ,(53.93),0.4607
2376,技嘉,2023/03,12.65 ,(54.98),12.65 ,(54.98),0.4502
2376,技嘉,2023/06,11.82 ,(1.69),11.82 ,(1.69),0.9831
2376,技嘉,2023/09,13.27 ,63.70 ,13.27 ,63.70 ,1.637
8046,南電,2023/03,29.55 ,(31.05),29.55 ,(31.05),0.6895
8046,南電,2023/06,18.97 ,(67.65),18.97 ,(67.65),0.3235
8046,南電,2023/09,14.87 ,(78.30),14.87 ,(78.30),0.217
3044,健鼎,2023/03,15.30 ,(26.58),15.30 ,(26.58),0.7342
3044,健鼎,2023/06,17.05 ,(21.76),17.05 ,(21.76),0.7824
3044,健鼎,2023/09,22.12 ,14.83 ,22.12 ,14.83 ,1.1483
5469,瀚宇博,2023/03,23.43 ,13.79 ,23.43 ,13.79 ,1.1379
5469,瀚宇博,2023/06,22.98 ,19.14 ,22.98 ,19.14 ,1.1914
5469,瀚宇博,2023/09,27.69 ,25.94 ,27.69 ,25.94 ,1.2594
3189,景碩,2023/03,23.42 ,(54.56),23.42 ,(54.56),0.4544
3189,景碩,2023/06,22.90 ,(65.18),22.90 ,(65.18),0.3482
3189,景碩,2023/09,22.58 ,(69.64),22.58 ,(69.64),0.3036
2355,敬鵬,2023/03,8.81 ,94.22 ,8.81 ,94.22 ,1.9422
2355,敬鵬,2023/06,10.80 ,25.42 ,10.80 ,25.42 ,1.2542
2355,敬鵬,2023/09,16.38 ,122.33 ,16.38 ,122.33 ,2.2233
6213,聯茂,2023/03,10.70 ,(46.35),10.70 ,(46.35),0.5365
6213,聯茂,2023/06,10.70 ,(37.92),10.70 ,(37.92),0.6208
6213,聯茂,2023/09,13.55 ,23.15 ,13.55 ,23.15 ,1.2315
6269,台郡,2023/03,9.61 ,(48.42),9.61 ,(48.42),0.5158
6269,台郡,2023/06,15.71 ,57.23 ,15.71 ,57.23 ,1.5723
6269,台郡,2023/09,17.99 ,(46.81),17.99 ,(46.81),0.5319
2399,映泰,2023/03,9.69 ,(44.87),9.69 ,(44.87),0.5513
2399,映泰,2023/06,8.06 ,(43.79),8.06 ,(43.79),0.5621
2399,映泰,2023/09,6.20 ,(17.50),6.20 ,(17.50),0.825
3022,威強電,2023/03,33.24 ,36.43 ,33.24 ,36.44 ,1.3644
3022,威強電,2023/06,35.98 ,13.86 ,35.95 ,13.91 ,1.1391
3022,威強電,2023/09,39.42 ,(25.07),39.32 ,(25.27),0.7473
5355,佳總,2023/03,0.81 ,105.90 ,0.81 ,105.90 ,2.059
5355,佳總,2023/06,(12.19),(66.08),(12.19),(66.08),0.3392
5355,佳總,2023/09,(21.25),(91.84),(21.25),(91.84),0.0816
6245,立端,2023/03,33.30 ,52.89 ,33.30 ,52.89 ,1.5289
6245,立端,2023/06,32.59 ,7.62 ,32.59 ,7.62 ,1.0762
6245,立端,2023/09,36.04 ,(16.60),36.04 ,(16.60),0.834
3305,昇貿,2023/03,15.11 ,(28.34),15.11 ,(28.34),0.7166
3305,昇貿,2023/06,14.97 ,(20.46),14.97 ,(20.46),0.7954
3305,昇貿,2023/09,15.06 ,81.46 ,15.06 ,81.46 ,1.8146
5475,德宏,2023/03,(9.67),64.74 ,(9.67),64.74 ,1.6474
5475,德宏,2023/06,(24.30),(80.11),(24.30),(80.11),0.1989
5475,德宏,2023/09,(3.20),85.91 ,(3.20),85.91 ,1.8591
3515,華擎,2023/03,16.61 ,(46.70),16.61 ,(46.70),0.533
3515,華擎,2023/06,20.09 ,(0.32),20.09 ,(0.32),0.9968
3515,華擎,2023/09,20.12 ,50.58 ,20.12 ,50.58 ,1.5058
8183,精星,2023/03,20.57 ,(7.38),20.57 ,(7.38),0.9262
8183,精星,2023/06,20.06 ,(6.39),20.06 ,(6.39),0.9361
8183,精星,2023/09,17.62 ,(21.05),17.62 ,(21.05),0.7895
2397,友通,2023/03,21.86 ,17.81 ,21.86 ,17.81 ,1.1781
2397,友通,2023/06,20.72 ,(0.96),20.72 ,(0.96),0.9904
2397,友通,2023/09,18.16 ,(20.28),18.16 ,(20.28),0.7972
5258,虹堡,2023/03,34.35 ,43.02 ,34.35 ,43.02 ,1.4302
5258,虹堡,2023/06,31.93 ,20.48 ,31.93 ,20.48 ,1.2048
5258,虹堡,2023/09,29.47 ,4.07 ,29.47 ,4.07 ,1.0407
6156,松上,2023/03,13.83 ,42.43 ,13.83 ,42.43 ,1.4243
6156,松上,2023/06,13.48 ,(3.91),13.48 ,(3.91),0.9609
6156,松上,2023/09,17.09 ,(2.03),17.09 ,(2.03),0.9797
4939,亞電,2023/03,22.25 ,(32.39),22.25 ,(32.39),0.6761
4939,亞電,2023/06,22.12 ,(2.11),22.12 ,(2.11),0.9789
4939,亞電,2023/09,23.44 ,7.33 ,23.44 ,7.33 ,1.0733
6161,捷波,2023/03,33.40 ,(32.57),33.40 ,(32.57),0.6743
6161,捷波,2023/06,36.40 ,(23.45),36.40 ,(23.45),0.7655
6161,捷波,2023/09,39.07 ,(5.58),39.07 ,(5.58),0.9442
2313,華通,2023/03,14.32 ,(46.01),14.32 ,(46.01),0.5399
2313,華通,2023/06,12.34 ,(45.53),12.34 ,(45.53),0.5447
2313,華通,2023/09,15.88 ,(28.66),15.88 ,(28.66),0.7134
6153,嘉聯益,2023/03,(27.83),(379.98),(27.83),(379.98),-2.7998
6153,嘉聯益,2023/06,(9.89),(628.42),(9.89),(628.42),-5.2842
6153,嘉聯益,2023/09,(2.73),(107.39),(2.73),(107.39),-0.0739
2368,金像電,2023/03,20.36 ,(22.66),20.36 ,(22.66),0.7734
2368,金像電,2023/06,23.77 ,(33.71),23.77 ,(33.71),0.6629
2368,金像電,2023/09,29.31 ,1.83 ,29.31 ,1.83 ,1.0183
2402,毅嘉,2023/03,11.51 ,6.18 ,11.51 ,6.18 ,1.0618
2402,毅嘉,2023/06,15.65 ,55.52 ,15.65 ,55.52 ,1.5552
2402,毅嘉,2023/09,15.68 ,32.25 ,15.68 ,32.25 ,1.3225
8076,伍豐,2023/03,27.64 ,(13.58),27.70 ,(13.82),0.8618
8076,伍豐,2023/06,28.72 ,(19.25),28.65 ,(19.62),0.8038
8076,伍豐,2023/09,32.92 ,32.97 ,30.78 ,24.31 ,1.2431
6278,台表科,2023/03,9.41 ,(61.59),9.41 ,(61.59),0.3841
6278,台表科,2023/06,11.33 ,(24.05),11.33 ,(24.05),0.7595
6278,台表科,2023/09,13.09 ,(28.75),13.09 ,(28.75),0.7125
3715,定穎投控,2023/03,19.84 ,0.00 ,19.84 ,0.00 ,1
3715,定穎投控,2023/06,19.96 ,0.00 ,19.96 ,0.00 ,1
3715,定穎投控,2023/09,26.83 ,18.05 ,26.83 ,18.05 ,1.1805
8213,志超,2023/03,12.20 ,(50.39),12.20 ,(50.39),0.4961
8213,志超,2023/06,15.81 ,(5.63),15.81 ,(5.63),0.9437
8213,志超,2023/09,17.11 ,39.35 ,17.11 ,39.35 ,1.3935
8039,台虹,2023/03,15.75 ,(54.09),15.75 ,(54.09),0.4591
8039,台虹,2023/06,22.57 ,(22.31),22.57 ,(22.31),0.7769
8039,台虹,2023/09,25.28 ,5.99 ,25.28 ,5.99 ,1.0599
4927,泰鼎-KY,2023/03,11.85 ,(54.35),11.85 ,(54.35),0.4565
4927,泰鼎-KY,2023/06,8.57 ,(69.87),8.57 ,(69.87),0.3013
4927,泰鼎-KY,2023/09,8.70 ,(49.98),8.70 ,(49.98),0.5002
8050,廣積,2023/03,28.09 ,13.10 ,28.10 ,13.32 ,1.1332
8050,廣積,2023/06,23.59 ,(18.89),23.59 ,(18.97),0.8103
8050,廣積,2023/09,22.31 ,(40.40),22.31 ,(40.38),0.5962
5498,凱崴,2023/03,(24.54),(321.48),(24.54),(321.48),-2.2148
5498,凱崴,2023/06,(2.40),(89.70),(2.40),(89.70),0.103
5498,凱崴,2023/09,1.04 ,(89.31),1.04 ,(89.31),0.1069
2316,楠梓電,2023/03,(9.49),(191.56),(9.49),(191.56),-0.9156
2316,楠梓電,2023/06,(6.04),(161.99),(6.04),(161.99),-0.6199
2316,楠梓電,2023/09,(7.95),(1060.37),(7.95),(1060.37),-9.6037
6579,研揚,2023/03,32.28 ,12.54 ,32.28 ,12.54 ,1.1254
6579,研揚,2023/06,35.50 ,(3.72),35.50 ,(3.72),0.9628
6579,研揚,2023/09,36.50 ,18.14 ,36.50 ,18.14 ,1.1814
6108,競國,2023/03,6.50 ,(27.05),6.50 ,(27.05),0.7295
6108,競國,2023/06,9.03 ,51.10 ,9.03 ,51.10 ,1.511
6108,競國,2023/09,13.92 ,17.91 ,13.92 ,17.91 ,1.1791
2417,圓剛,2023/03,52.20 ,(18.95),52.20 ,(18.95),0.8105
2417,圓剛,2023/06,54.18 ,(18.61),54.18 ,(18.61),0.8139
2417,圓剛,2023/09,55.58 ,(0.25),55.58 ,(0.25),0.9975
6206,飛捷,2023/03,33.14 ,(49.38),33.14 ,(49.38),0.5062
6206,飛捷,2023/06,37.91 ,(42.43),37.91 ,(42.43),0.5757
6206,飛捷,2023/09,38.35 ,(42.60),38.35 ,(42.60),0.574
8021,尖點,2023/03,21.25 ,(54.24),21.25 ,(54.24),0.4576
8021,尖點,2023/06,18.38 ,(60.33),18.38 ,(60.33),0.3967
8021,尖點,2023/09,24.89 ,(32.29),24.89 ,(32.29),0.6771
4989,榮科,2023/03,4.73 ,(76.02),4.73 ,(76.02),0.2398
4989,榮科,2023/06,(2.68),(123.95),(2.68),(123.95),-0.2395
4989,榮科,2023/09,(3.71),(28.85),(3.71),(28.85),0.7115
3645,達邁,2023/03,(3.56),(104.54),(3.56),(104.54),-0.0454
3645,達邁,2023/06,19.15 ,(57.18),19.15 ,(57.18),0.4282
3645,達邁,2023/09,28.09 ,494.98 ,28.09 ,494.98 ,5.9498
6141,柏承,2023/03,(9.02),(134.00),(9.02),(134.00),-0.34
6141,柏承,2023/06,1.51 ,(94.15),1.51 ,(94.15),0.0585
6141,柏承,2023/09,0.30 ,(98.15),0.30 ,(98.15),0.0185
8114,振樺電,2023/03,36.60 ,(6.97),36.60 ,(6.97),0.9303
8114,振樺電,2023/06,39.05 ,(3.22),39.05 ,(3.22),0.9678
8114,振樺電,2023/09,40.01 ,(18.67),40.01 ,(18.67),0.8133
