代號,名稱,實收資本額(元)
3037,欣興,15251011970.00 
2313,華通,11918205890.00 
4958,臻鼎-KY,9566525090.00 
2395,研華,8634321950.00 
2377,微星,8448561990.00 
2367,燿華,7094071750.00 
2376,技嘉,6698888860.00 
8046,南電,6461654870.00 
6153,嘉聯益,5961776940.00 
2331,精英,5574029680.00 
3044,健鼎,5256058980.00 
1815,富喬,5157777510.00 
2368,金像電,4918395050.00 
5469,瀚宇博,4861660000.00 
6191,精成科,4743030000.00 
3189,景碩,4566710600.00 
2355,敬鵬,3974954200.00 
6213,聯茂,3629572180.00 
2383,台光電,3452218590.00 
6269,台郡,3232009810.00 
2402,毅嘉,3075365330.00 
8076,伍豐,3014525920.00 
6278,台表科,2923983530.00 
3715,定穎投控,2776745840.00 
6274,台燿,2725335190.00 
8213,志超,2712424880.00 
8039,台虹,2549117040.00 
8358,金居,2525880000.00 
4927,泰鼎-KY,2199379880.00 
6166,凌華,2174972570.00 
5381,合正,2137268370.00 
8050,廣積,2060724020.00 
5340,建榮,1948939640.00 
5498,凱崴,1924485450.00 
2316,楠梓電,1827405360.00 
2399,映泰,1781000000.00 
3022,威強電,1765977900.00 
6579,研揚,1693692210.00 
5355,佳總,1661227920.00 
6108,競國,1598993110.00 
2417,圓剛,1576188640.00 
6245,立端,1462003030.00 
6266,泰詠,1450068340.00 
6206,飛捷,1430623240.00 
8021,尖點,1421804670.00 
8234,新漢,1412264720.00 
4989,榮科,1377765000.00 
6414,樺漢,1373946170.00 
3305,昇貿,1342374740.00 
3645,達邁,1322052940.00 
5475,德宏,1271270170.00 
3515,華擎,1239342290.00 
8183,精星,1212510680.00 
2397,友通,1144888570.00 
6141,柏承,1133540050.00 
5258,虹堡,1100474340.00 
8114,振樺電,1074259190.00 
6156,松上,1030853760.00 
3088,艾訊,1023134600.00 
4916,事欣科,983789050.00 
4939,亞電,982008680.00 
3321,同泰,971597930.00 
6217,中探針,971080180.00 
2425,承啟,964988310.00 
5490,同亨,961522010.00 
3594,磐儀,956973580.00 
6223,旺矽,942311060.00 
4909,新復興,933568640.00 
5439,高技,929757520.00 
6928,攸泰科技,860000000.00 
2465,麗臺,839460310.00 
6552,易華電,830000000.00 
3631,晟楠,818209090.00 
8074,鉅橡,809744660.00 
3416,融程電,797465020.00 
3046,建碁,784480130.00 
3521,鴻翊,782655520.00 
3652,精聯,750975000.00 
6416,瑞祺電通,733484600.00 
3479,安勤,726301640.00 
6672,騰輝電子-KY,714347450.00 
5464,霖宏,710714900.00 
3354,律勝,701124260.00 
3276,宇環,697126660.00 
3390,旭軟,689582590.00 
6160,欣技,684891200.00 
6835,圓裕,661722970.00 
3229,晟鈦,642630000.00 
3577,泓格,639656530.00 
6577,勁豐,600601450.00 
3564,其陽,591231000.00 
6161,捷波,562374770.00 
8291,尚茂,522350000.00 
8155,博智,509850500.00 
6150,撼訊,483459850.00 
6194,育富,480000000.00 
3611,鼎翰,473536340.00 
3287,廣寰科,439704830.00 
6114,久威,439119370.00 
3115,富榮綱,436976000.00 
5291,邑昇,409256060.00 
5474,聰泰,403559440.00 
6569,醫揚,386147450.00 
6570,維田,371191700.00 
6515,穎崴,350568820.00 
6210,慶生,350480000.00 
6510,精測,327890220.00 
4987,科誠,318780000.00 
5386,青雲,312112990.00 
6683,雍智科技,273881610.00 
6922,宸曜,256171280.00 
6680,鑫創電子,232301740.00 
3064,泰偉,130114510.00 
