代號,名稱,年/月,季底存貨/營收TSE
1560,中砂,Dec-22,113.76 
1560,中砂,Sep-22,91.89 
1560,中砂,Jun-22,84.57 
1560,中砂,Mar-22,89.15 
1560,中砂,Dec-21,93.91 
1560,中砂,Sep-21,88.01 
1560,中砂,Jun-21,90.22 
1560,中砂,Mar-21,91.97 
1560,中砂,Dec-20,106.49 
1560,中砂,Sep-20,105.39 
1560,中砂,Jun-20,102.62 
1560,中砂,Mar-20,106.84 
1560,中砂,Dec-19,112.00 
1560,中砂,Sep-19,120.80 
1560,中砂,Jun-19,121.27 
1560,中砂,Mar-19,110.49 
1560,中砂,Dec-18,96.59 
1560,中砂,Sep-18,93.55 
1560,中砂,Jun-18,88.37 
1560,中砂,Mar-18,79.79 
2303,聯電,Dec-22,45.80 
2303,聯電,Sep-22,39.93 
2303,聯電,Jun-22,37.94 
2303,聯電,Mar-22,40.05 
2303,聯電,Dec-21,38.94 
2303,聯電,Sep-21,41.41 
2303,聯電,Jun-21,44.08 
2303,聯電,Mar-21,47.19 
2303,聯電,Dec-20,49.79 
2303,聯電,Sep-20,50.95 
2303,聯電,Jun-20,52.59 
2303,聯電,Mar-20,52.35 
2303,聯電,Dec-19,51.89 
2303,聯電,Sep-19,52.97 
2303,聯電,Jun-19,54.48 
2303,聯電,Mar-19,57.93 
2303,聯電,Dec-18,51.25 
2303,聯電,Sep-18,44.66 
2303,聯電,Jun-18,45.45 
2303,聯電,Mar-18,45.70 
2329,華泰,Dec-22,50.56 
2329,華泰,Sep-22,50.71 
2329,華泰,Jun-22,45.50 
2329,華泰,Mar-22,48.47 
2329,華泰,Dec-21,44.96 
2329,華泰,Sep-21,44.32 
2329,華泰,Jun-21,37.82 
2329,華泰,Mar-21,33.93 
2329,華泰,Dec-20,33.11 
2329,華泰,Sep-20,36.72 
2329,華泰,Jun-20,39.41 
2329,華泰,Mar-20,40.27 
2329,華泰,Dec-19,30.51 
2329,華泰,Sep-19,26.97 
2329,華泰,Jun-19,31.44 
2329,華泰,Mar-19,39.09 
2329,華泰,Dec-18,37.26 
2329,華泰,Sep-18,41.53 
2329,華泰,Jun-18,40.91 
2329,華泰,Mar-18,43.54 
2330,台積電,Dec-22,35.35 
2330,台積電,Sep-22,35.61 
2330,台積電,Jun-22,40.71 
2330,台積電,Mar-22,40.75 
2330,台積電,Dec-21,44.07 
2330,台積電,Sep-21,43.95 
2330,台積電,Jun-21,45.80 
2330,台積電,Mar-21,42.65 
2330,台積電,Dec-20,37.99 
2330,台積電,Sep-20,30.72 
2330,台積電,Jun-20,27.61 
2330,台積電,Mar-20,25.20 
2330,台積電,Dec-19,26.16 
2330,台積電,Sep-19,32.99 
2330,台積電,Jun-19,44.91 
2330,台積電,Mar-19,49.69 
2330,台積電,Dec-18,35.63 
2330,台積電,Sep-18,40.46 
2330,台積電,Jun-18,42.45 
2330,台積電,Mar-18,34.35 
2337,旺宏,Dec-22,161.71 
2337,旺宏,Sep-22,134.12 
2337,旺宏,Jun-22,134.40 
2337,旺宏,Mar-22,117.03 
2337,旺宏,Dec-21,90.45 
2337,旺宏,Sep-21,88.91 
2337,旺宏,Jun-21,122.60 
2337,旺宏,Mar-21,137.51 
2337,旺宏,Dec-20,127.44 
2337,旺宏,Sep-20,113.95 
2337,旺宏,Jun-20,124.23 
2337,旺宏,Mar-20,114.45 
2337,旺宏,Dec-19,133.71 
2337,旺宏,Sep-19,127.04 
2337,旺宏,Jun-19,252.25 
2337,旺宏,Mar-19,306.44 
2337,旺宏,Dec-18,199.85 
2337,旺宏,Sep-18,171.08 
2337,旺宏,Jun-18,161.00 
2337,旺宏,Mar-18,123.92 
2338,光罩,Dec-22,19.41 
2338,光罩,Sep-22,18.55 
2338,光罩,Jun-22,21.53 
2338,光罩,Mar-22,23.63 
2338,光罩,Dec-21,23.77 
2338,光罩,Sep-21,23.84 
2338,光罩,Jun-21,16.45 
2338,光罩,Mar-21,16.53 
2338,光罩,Dec-20,14.96 
2338,光罩,Sep-20,20.45 
2338,光罩,Jun-20,21.58 
2338,光罩,Mar-20,23.26 
2338,光罩,Dec-19,23.97 
2338,光罩,Sep-19,24.04 
2338,光罩,Jun-19,36.54 
2338,光罩,Mar-19,59.84 
2338,光罩,Dec-18,56.79 
2338,光罩,Sep-18,52.37 
2338,光罩,Jun-18,45.46 
2338,光罩,Mar-18,52.80 
2342,茂矽,Dec-22,58.31 
2342,茂矽,Sep-22,50.97 
2342,茂矽,Jun-22,42.77 
2342,茂矽,Mar-22,43.86 
2342,茂矽,Dec-21,39.50 
2342,茂矽,Sep-21,40.08 
2342,茂矽,Jun-21,46.90 
2342,茂矽,Mar-21,55.52 
2342,茂矽,Dec-20,47.58 
2342,茂矽,Sep-20,42.82 
2342,茂矽,Jun-20,36.60 
2342,茂矽,Mar-20,46.74 
2342,茂矽,Dec-19,46.63 
2342,茂矽,Sep-19,47.64 
2342,茂矽,Jun-19,56.91 
2342,茂矽,Mar-19,45.23 
2342,茂矽,Dec-18,41.63 
2342,茂矽,Sep-18,36.87 
2342,茂矽,Jun-18,35.16 
2342,茂矽,Mar-18,35.87 
2344,華邦電,Dec-22,111.57 
2344,華邦電,Sep-22,92.48 
2344,華邦電,Jun-22,70.61 
2344,華邦電,Mar-22,66.23 
2344,華邦電,Dec-21,61.32 
2344,華邦電,Sep-21,56.53 
2344,華邦電,Jun-21,57.28 
2344,華邦電,Mar-21,67.90 
2344,華邦電,Dec-20,69.50 
2344,華邦電,Sep-20,89.54 
2344,華邦電,Jun-20,82.99 
2344,華邦電,Mar-20,91.51 
2344,華邦電,Dec-19,82.97 
2344,華邦電,Sep-19,79.24 
2344,華邦電,Jun-19,92.15 
2344,華邦電,Mar-19,103.92 
2344,華邦電,Dec-18,91.91 
2344,華邦電,Sep-18,72.41 
2344,華邦電,Jun-18,69.26 
2344,華邦電,Mar-18,71.96 
2351,順德,Dec-22,135.74 
2351,順德,Sep-22,142.15 
2351,順德,Jun-22,151.32 
2351,順德,Mar-22,162.02 
2351,順德,Dec-21,134.64 
2351,順德,Sep-21,136.49 
2351,順德,Jun-21,131.37 
2351,順德,Mar-21,126.13 
2351,順德,Dec-20,120.32 
2351,順德,Sep-20,129.20 
2351,順德,Jun-20,137.00 
2351,順德,Mar-20,139.70 
2351,順德,Dec-19,120.87 
2351,順德,Sep-19,141.22 
2351,順德,Jun-19,134.49 
2351,順德,Mar-19,134.66 
2351,順德,Dec-18,111.69 
2351,順德,Sep-18,100.60 
2351,順德,Jun-18,101.82 
2351,順德,Mar-18,115.38 
2363,矽統,Dec-22,226.32 
2363,矽統,Sep-22,372.83 
2363,矽統,Jun-22,218.70 
2363,矽統,Mar-22,304.47 
2363,矽統,Dec-21,174.29 
2363,矽統,Sep-21,131.09 
2363,矽統,Jun-21,125.88 
2363,矽統,Mar-21,144.02 
2363,矽統,Dec-20,161.50 
2363,矽統,Sep-20,198.60 
2363,矽統,Jun-20,142.20 
2363,矽統,Mar-20,242.64 
2363,矽統,Dec-19,169.50 
2363,矽統,Sep-19,110.85 
2363,矽統,Jun-19,107.46 
2363,矽統,Mar-19,106.85 
2363,矽統,Dec-18,194.87 
2363,矽統,Sep-18,134.38 
2363,矽統,Jun-18,112.38 
2363,矽統,Mar-18,124.01 
2369,菱生,Dec-22,42.92 
2369,菱生,Sep-22,48.10 
2369,菱生,Jun-22,42.74 
2369,菱生,Mar-22,39.78 
2369,菱生,Dec-21,35.07 
2369,菱生,Sep-21,25.97 
2369,菱生,Jun-21,23.61 
2369,菱生,Mar-21,22.29 
2369,菱生,Dec-20,22.08 
2369,菱生,Sep-20,30.50 
2369,菱生,Jun-20,32.78 
2369,菱生,Mar-20,28.16 
2369,菱生,Dec-19,27.49 
2369,菱生,Sep-19,24.49 
2369,菱生,Jun-19,28.17 
2369,菱生,Mar-19,33.81 
