代號,名稱,年/月,季底存貨/營收TSE
1560,中砂,2023/09,117.44 
1560,中砂,2023/06,120.15 
1560,中砂,2023/03,114.37 
2303,聯電,2023/09,64.06 
2303,聯電,2023/06,61.38 
2303,聯電,2023/03,60.28 
2329,華泰,2023/09,33.83 
2329,華泰,2023/06,41.98 
2329,華泰,2023/03,46.78 
2330,台積電,2023/09,47.94 
2330,台積電,2023/06,48.73 
2330,台積電,2023/03,42.48 
2337,旺宏,2023/09,184.11 
2337,旺宏,2023/06,191.47 
2337,旺宏,2023/03,210.58 
2338,光罩,2023/09,32.35 
2338,光罩,2023/06,32.77 
2338,光罩,2023/03,28.68 
2342,茂矽,2023/09,61.26 
2342,茂矽,2023/06,73.52 
2342,茂矽,2023/03,66.70 
2344,華邦電,2023/09,119.04 
2344,華邦電,2023/06,118.99 
2344,華邦電,2023/03,125.29 
2351,順德,2023/09,134.12 
2351,順德,2023/06,128.44 
2351,順德,2023/03,141.69 
2363,矽統,2023/09,85.66 
2363,矽統,2023/06,215.21 
2363,矽統,2023/03,253.94 
2369,菱生,2023/09,23.03 
2369,菱生,2023/06,27.57 
2369,菱生,2023/03,37.29 
2379,瑞昱,2023/09,55.41 
2379,瑞昱,2023/06,70.37 
2379,瑞昱,2023/03,108.11 
2388,威盛,2023/09,92.01 
2388,威盛,2023/06,103.17 
2388,威盛,2023/03,156.60 
2401,凌陽,2023/09,103.96 
2401,凌陽,2023/06,125.11 
2401,凌陽,2023/03,168.30 
2408,南亞科,2023/09,362.46 
2408,南亞科,2023/06,398.94 
2408,南亞科,2023/03,408.95 
2436,偉詮電,2023/09,117.14 
2436,偉詮電,2023/06,170.08 
2436,偉詮電,2023/03,254.55 
2441,超豐,2023/09,31.22 
2441,超豐,2023/06,34.32 
2441,超豐,2023/03,41.82 
2449,京元電子,2023/09,13.43 
2449,京元電子,2023/06,14.67 
2449,京元電子,2023/03,16.56 
2451,創見,2023/09,129.53 
2451,創見,2023/06,102.50 
2451,創見,2023/03,94.46 
2454,聯發科,2023/09,48.49 
2454,聯發科,2023/06,62.23 
2454,聯發科,2023/03,72.41 
2455,全新,2023/09,63.86 
2455,全新,2023/06,78.81 
2455,全新,2023/03,123.09 
2458,義隆,2023/09,67.69 
2458,義隆,2023/06,93.36 
2458,義隆,2023/03,137.47 
3006,晶豪科,2023/09,253.58 
3006,晶豪科,2023/06,258.92 
3006,晶豪科,2023/03,307.13 
3014,聯陽,2023/09,43.22 
3014,聯陽,2023/06,47.94 
3014,聯陽,2023/03,72.02 
3016,嘉晶,2023/09,86.92 
3016,嘉晶,2023/06,79.71 
3016,嘉晶,2023/03,85.97 
3034,聯詠,2023/09,31.51 
3034,聯詠,2023/06,34.71 
3034,聯詠,2023/03,44.05 
3035,智原,2023/09,55.36 
3035,智原,2023/06,60.53 
3035,智原,2023/03,70.70 
3041,揚智,2023/09,148.63 
3041,揚智,2023/06,141.47 
3041,揚智,2023/03,153.41 
3094,聯傑,2023/09,75.99 
3094,聯傑,2023/06,55.41 
3094,聯傑,2023/03,54.83 
3257,虹冠電,2023/09,95.33 
3257,虹冠電,2023/06,112.83 
3257,虹冠電,2023/03,200.66 
3443,創意,2023/09,78.77 
3443,創意,2023/06,102.51 
3443,創意,2023/03,106.71 
3530,晶相光,2023/09,387.22 
3530,晶相光,2023/06,465.27 
3530,晶相光,2023/03,466.21 
3532,台勝科,2023/09,108.12 
3532,台勝科,2023/06,104.28 
3532,台勝科,2023/03,98.90 
3545,敦泰,2023/09,91.64 
3545,敦泰,2023/06,115.45 
3545,敦泰,2023/03,136.22 
3588,通嘉,2023/09,189.11 
3588,通嘉,2023/06,273.79 
3588,通嘉,2023/03,362.72 
3592,瑞鼎,2023/09,43.43 
3592,瑞鼎,2023/06,50.73 
3592,瑞鼎,2023/03,80.50 
3661,世芯-KY,2023/09,148.90 
3661,世芯-KY,2023/06,94.64 
3661,世芯-KY,2023/03,140.84 
3711,日月光投控,2023/09,49.92 
3711,日月光投控,2023/06,56.92 
3711,日月光投控,2023/03,65.45 
4919,新唐,2023/09,92.52 
4919,新唐,2023/06,94.17 
4919,新唐,2023/03,98.22 
4952,凌通,2023/09,108.72 
4952,凌通,2023/06,114.45 
4952,凌通,2023/03,184.37 
4961,天鈺,2023/09,44.74 
4961,天鈺,2023/06,51.32 
4961,天鈺,2023/03,51.83 
4967,十銓,2023/09,170.63 
4967,十銓,2023/06,80.07 
4967,十銓,2023/03,380.78 
4968,立積,2023/09,77.22 
4968,立積,2023/06,92.91 
4968,立積,2023/03,136.88 
5269,祥碩,2023/09,39.23 
5269,祥碩,2023/06,50.91 
5269,祥碩,2023/03,64.63 
5285,界霖,2023/09,103.94 
5285,界霖,2023/06,111.16 
5285,界霖,2023/03,122.67 
5471,松翰,2023/09,127.15 
5471,松翰,2023/06,138.67 
