代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
3711,日月光投控,2023/03,14.78 ,(32.07),14.78 ,(32.07),0.68 
3711,日月光投控,2023/06,15.95 ,(36.78),15.95 ,(36.78),0.63 
3711,日月光投控,2023/09,16.16 ,(34.38),16.16 ,(34.38),0.66 
2454,聯發科,2023/03,48.00 ,(36.04),48.00 ,(36.04),0.64 
2454,聯發科,2023/06,47.53 ,(39.23),47.53 ,(39.23),0.61 
2454,聯發科,2023/09,47.41 ,(25.54),47.41 ,(25.54),0.74 
2449,京元電子,2023/03,32.70 ,(21.04),32.70 ,(21.04),0.79 
2449,京元電子,2023/06,33.08 ,(27.30),33.08 ,(27.30),0.73 
2449,京元電子,2023/09,35.63 ,(1.56),35.63 ,(1.56),0.98 
8150,南茂,2023/03,12.37 ,(66.05),12.37 ,(66.05),0.34 
8150,南茂,2023/06,17.28 ,(46.00),17.28 ,(46.00),0.54 
8150,南茂,2023/09,15.93 ,9.46 ,15.93 ,9.46 ,1.09 
2363,矽統,2023/03,(4.62),(114.30),(4.62),(114.30),-0.14 
2363,矽統,2023/06,30.20 ,358.67 ,30.20 ,358.67 ,4.59 
2363,矽統,2023/09,38.56 ,948.67 ,38.56 ,948.67 ,10.49 
2451,創見,2023/03,21.19 ,(35.76),21.19 ,(35.76),0.64 
2451,創見,2023/06,23.67 ,(33.13),23.67 ,(33.13),0.67 
2451,創見,2023/09,31.23 ,94.87 ,31.23 ,94.87 ,1.95 
3707,漢磊,2023/03,11.40 ,(55.23),11.40 ,(55.23),0.45 
3707,漢磊,2023/06,13.81 ,(43.87),13.81 ,(43.87),0.56 
3707,漢磊,2023/09,9.14 ,(68.67),9.14 ,(68.67),0.31 
3016,嘉晶,2023/03,10.91 ,(57.62),10.91 ,(57.62),0.42 
3016,嘉晶,2023/06,10.51 ,(63.40),10.51 ,(63.40),0.37 
3016,嘉晶,2023/09,10.59 ,(64.20),10.59 ,(64.20),0.36 
2338,光罩,2023/03,27.31 ,5.89 ,27.31 ,5.89 ,1.06 
2338,光罩,2023/06,26.23 ,(23.60),26.23 ,(23.60),0.76 
2338,光罩,2023/09,25.55 ,(7.76),25.55 ,(7.76),0.92 
6271,同欣電,2023/03,28.03 ,(30.56),28.03 ,(30.56),0.69 
6271,同欣電,2023/06,17.06 ,(64.38),17.06 ,(64.38),0.36 
6271,同欣電,2023/09,22.92 ,(55.37),22.92 ,(55.37),0.45 
2351,順德,2023/03,20.44 ,2.96 ,20.44 ,2.96 ,1.03 
2351,順德,2023/06,15.53 ,(26.59),15.53 ,(26.59),0.73 
2351,順德,2023/09,17.01 ,(2.64),17.01 ,(2.64),0.97 
2436,偉詮電,2023/03,22.99 ,(60.59),22.99 ,(60.59),0.39 
2436,偉詮電,2023/06,27.21 ,(8.78),27.21 ,(8.78),0.91 
2436,偉詮電,2023/09,25.62 ,28.47 ,25.62 ,28.47 ,1.28 
3372,典範,2023/03,(21.60),(150.86),(21.60),(150.86),-0.51 
3372,典範,2023/06,(13.44),(161.99),(13.44),(161.99),-0.62 
3372,典範,2023/09,(11.53),(460.90),(11.53),(460.90),-3.61 
5471,松翰,2023/03,39.87 ,(55.38),39.87 ,(55.38),0.45 
5471,松翰,2023/06,40.39 ,(45.31),40.39 ,(45.31),0.55 
5471,松翰,2023/09,43.21 ,(10.59),43.21 ,(10.59),0.89 
3014,聯陽,2023/03,55.74 ,(13.59),55.74 ,(13.59),0.86 
3014,聯陽,2023/06,55.23 ,28.61 ,55.23 ,28.61 ,1.29 
3014,聯陽,2023/09,52.53 ,76.44 ,52.53 ,76.44 ,1.76 
6525,捷敏-KY,2023/03,25.63 ,(19.16),25.63 ,(19.16),0.81 
6525,捷敏-KY,2023/06,20.50 ,(24.87),20.50 ,(24.87),0.75 
6525,捷敏-KY,2023/09,20.07 ,(37.85),20.07 ,(37.85),0.62 
8016,矽創,2023/03,30.12 ,(63.98),30.12 ,(63.98),0.36 
8016,矽創,2023/06,35.13 ,(35.43),35.13 ,(35.43),0.65 
8016,矽創,2023/09,36.92 ,(8.68),36.92 ,(8.68),0.91 
8261,富鼎,2023/03,26.34 ,(60.05),26.34 ,(60.05),0.40 
8261,富鼎,2023/06,22.12 ,(63.76),22.12 ,(63.76),0.36 
8261,富鼎,2023/09,26.39 ,(31.00),26.39 ,(31.00),0.69 
4952,凌通,2023/03,40.18 ,(61.33),40.18 ,(61.33),0.39 
4952,凌通,2023/06,38.94 ,(48.62),38.94 ,(48.62),0.51 
4952,凌通,2023/09,37.17 ,(28.93),37.17 ,(28.93),0.71 
6451,訊芯-KY,2023/03,17.04 ,912.86 ,17.04 ,912.86 ,10.13 
6451,訊芯-KY,2023/06,19.82 ,44.15 ,19.82 ,44.15 ,1.44 
6451,訊芯-KY,2023/09,30.07 ,68.33 ,30.07 ,68.33 ,1.68 
2337,旺宏,2023/03,25.14 ,(68.13),25.14 ,(68.13),0.32 
2337,旺宏,2023/06,28.30 ,(61.53),28.30 ,(61.53),0.38 
2337,旺宏,2023/09,24.18 ,(65.27),24.18 ,(65.27),0.35 
2329,華泰,2023/03,9.88 ,(50.68),9.88 ,(50.68),0.49 
2329,華泰,2023/06,18.53 ,(1.55),18.53 ,(1.55),0.98 
2329,華泰,2023/09,22.61 ,73.82 ,22.61 ,73.82 ,1.74 
6239,力成,2023/03,16.10 ,(44.65),16.10 ,(44.65),0.55 
6239,力成,2023/06,16.78 ,(47.16),16.78 ,(47.16),0.53 
6239,力成,2023/09,17.76 ,(21.28),17.76 ,(21.28),0.79 
3034,聯詠,2023/03,41.91 ,(45.59),41.91 ,(45.59),0.54 
3034,聯詠,2023/06,41.74 ,(15.59),41.74 ,(15.59),0.84 
3034,聯詠,2023/09,42.25 ,46.48 ,42.25 ,46.48 ,1.46 
2401,凌陽,2023/03,47.37 ,(51.02),47.37 ,(51.02),0.49 
2401,凌陽,2023/06,47.15 ,(35.31),47.15 ,(35.31),0.65 
2401,凌陽,2023/09,45.95 ,9.28 ,45.95 ,9.28 ,1.09 
2441,超豐,2023/03,17.78 ,(64.82),17.78 ,(64.82),0.35 
2441,超豐,2023/06,23.08 ,(45.83),23.08 ,(45.83),0.54 
2441,超豐,2023/09,19.00 ,(2.22),19.00 ,(2.22),0.98 
2388,威盛,2023/03,28.57 ,(37.89),28.57 ,(37.89),0.62 
2388,威盛,2023/06,28.28 ,7.30 ,28.28 ,7.30 ,1.07 
2388,威盛,2023/09,23.66 ,(10.74),23.66 ,(10.74),0.89 
2379,瑞昱,2023/03,43.14 ,(45.49),43.14 ,(45.49),0.55 
2379,瑞昱,2023/06,41.72 ,(28.32),41.72 ,(28.32),0.72 
2379,瑞昱,2023/09,42.02 ,(21.63),42.02 ,(21.63),0.78 
3105,穩懋,2023/03,11.40 ,(80.98),11.40 ,(80.98),0.19 
3105,穩懋,2023/06,20.05 ,(50.59),20.05 ,(50.59),0.49 
3105,穩懋,2023/09,22.07 ,47.24 ,22.07 ,47.24 ,1.47 
4919,新唐,2023/03,40.32 ,(23.20),40.32 ,(23.20),0.77 
4919,新唐,2023/06,40.45 ,(22.77),40.45 ,(22.77),0.77 
4919,新唐,2023/09,41.88 ,(12.37),41.88 ,(12.37),0.88 
2369,菱生,2023/03,(0.42),(101.86),(0.42),(101.86),-0.02 
2369,菱生,2023/06,5.05 ,(66.63),5.05 ,(66.63),0.33 
2369,菱生,2023/09,5.26 ,146.01 ,5.26 ,146.01 ,2.46 
6789,采鈺,2023/03,23.56 ,(56.98),23.56 ,(56.98),0.43 
6789,采鈺,2023/06,18.95 ,(67.22),18.95 ,(67.22),0.33 
6789,采鈺,2023/09,13.93 ,(68.06),13.93 ,(68.06),0.32 
2458,義隆,2023/03,40.76 ,(49.35),40.75 ,(49.38),0.51 
2458,義隆,2023/06,44.11 ,(32.02),44.14 ,(31.96),0.68 
2458,義隆,2023/09,47.15 ,25.90 ,47.16 ,25.93 ,1.26 
3006,晶豪科,2023/03,5.88 ,(90.28),5.88 ,(90.28),0.10 
3006,晶豪科,2023/06,0.13 ,(99.75),0.13 ,(99.75),0.00 
3006,晶豪科,2023/09,2.38 ,(83.36),2.38 ,(83.36),0.17 
3374,精材,2023/03,28.86 ,(27.95),28.86 ,(27.95),0.72 
3374,精材,2023/06,27.81 ,(52.33),27.81 ,(52.33),0.48 
3374,精材,2023/09,37.69 ,(13.94),37.69 ,(13.94),0.86 
3035,智原,2023/03,44.71 ,(8.46),44.71 ,(8.46),0.92 
3035,智原,2023/06,43.56 ,(23.43),43.56 ,(23.43),0.77 
3035,智原,2023/09,43.25 ,(18.71),43.25 ,(18.71),0.81 
3545,敦泰,2023/03,18.83 ,(60.61),18.83 ,(60.61),0.39 
3545,敦泰,2023/06,20.50 ,(43.37),20.50 ,(43.37),0.57 
3545,敦泰,2023/09,19.63 ,135.33 ,19.63 ,135.33 ,2.35 
2455,全新,2023/03,39.05 ,(57.58),39.05 ,(57.58),0.42 
2455,全新,2023/06,39.67 ,(22.26),39.67 ,(22.26),0.78 
2455,全新,2023/09,39.97 ,38.63 ,39.97 ,38.63 ,1.39 
6526,達發,2023/03,43.91 ,(51.42),43.91 ,(51.42),0.49 
