代號,名稱,實收資本額(元)
2330,台積電,259327332420.00 
2303,聯電,125284663840.00 
2344,華邦電,45000001930.00 
3711,日月光投控,44120643370.00 
6770,力積電,41530850260.00 
2408,南亞科,30986278940.00 
2337,旺宏,18558264410.00 
5347,世界,18389822670.00 
2454,聯發科,16016942820.00 
2449,京元電子,12227450650.00 
2329,華泰,8305783330.00 
6239,力成,7591466340.00 
6147,頎邦,7446755390.00 
8150,南茂,7272401260.00 
5483,中美晶,6412216510.00 
3034,聯詠,6085114690.00 
2401,凌陽,5919949190.00 
6182,合晶,5727437300.00 
2441,超豐,5688459210.00 
2388,威盛,5552959410.00 
8110,華東,5177398760.00 
2379,瑞昱,5128636410.00 
3264,欣銓,4901700760.00 
2363,矽統,4872330810.00 
6257,矽格,4831756920.00 
6488,環球晶,4781137250.00 
8131,福懋科,4422222230.00 
2451,創見,4298676750.00 
3105,穩懋,4239403840.00 
4919,新唐,4197652680.00 
3532,台勝科,3878483000.00 
3707,漢磊,3832226530.00 
2369,菱生,3801023440.00 
5351,鈺創,3255957810.00 
6789,采鈺,3171091190.00 
2458,義隆,3038803920.00 
3260,威剛,2958651780.00 
3016,嘉晶,2885418190.00 
3006,晶豪科,2861722380.00 
3374,精材,2713643160.00 
3035,智原,2605503130.00 
2338,光罩,2564561830.00 
6202,盛群,2261682000.00 
3545,敦泰,2195704490.00 
6271,同欣電,2090580240.00 
8299,群聯,2053341300.00 
8086,宏捷科,1965161230.00 
3041,揚智,1951227460.00 
2455,全新,1849059180.00 
2351,順德,1821402490.00 
6129,普誠,1809436750.00 
2436,偉詮電,1780115940.00 
3372,典範,1753240000.00 
8028,昇陽半導體,1726280330.00 
5471,松翰,1678770620.00 
6526,達發,1675055660.00 
3014,聯陽,1660351240.00 
5302,太欣,1598883490.00 
2342,茂矽,1574517440.00 
3227,原相,1492218180.00 
1560,中砂,1458061340.00 
3265,台星科,1362616590.00 
3443,創意,1340119110.00 
6525,捷敏-KY,1290473840.00 
8271,宇瞻,1287292660.00 
6261,久元,1284979890.00 
6287,元隆,1214506150.00 
4961,天鈺,1212544530.00 
8016,矽創,1201368760.00 
8261,富鼎,1184431930.00 
4991,環宇-KY,1119049240.00 
4952,凌通,1088158160.00 
6451,訊芯-KY,1074648000.00 
6719,力智,1039323000.00 
5285,界霖,1020409260.00 
6411,晶焱,990010310.00 
8054,安國,977725660.00 
6415,矽力*-KY,965932783.00 
6695,芯鼎,964282500.00 
8040,九暘,964138740.00 
3081,聯亞,925311770.00 
8277,商丞,916288330.00 
5289,宜鼎,913240950.00 
4968,立積,906824500.00 
6104,創惟,906799570.00 
6462,神盾,883827540.00 
4967,十銓,863632880.00 
8081,致新,861720720.00 
3094,聯傑,831170890.00 
4966,譜瑞-KY,811610380.00 
6531,愛普*,811248770.00 
3317,尼克森,810000000.00 
6233,旺玖,802378960.00 
3257,虹冠電,799865900.00 
3661,世芯-KY,798880200.00 
6237,驊訊,796453710.00 
5344,立衛,794474600.00 
3530,晶相光,774959000.00 
3592,瑞鼎,758552260.00 
3141,晶宏,751490280.00 
6138,茂達,750185000.00 
5269,祥碩,746622450.00 
3529,力旺,746622420.00 
3228,金麗科,698264950.00 
6756,威鋒電子,697260000.00 
8084,巨虹,695141490.00 
4973,廣穎,643928430.00 
3556,禾瑞亞,637028440.00 
3169,亞信,629269810.00 
8088,品安,609217490.00 
3588,通嘉,600221000.00 
5236,凌陽創新,584435940.00 
3259,鑫創,569659340.00 
5272,笙科,552761180.00 
6679,鈺太,549753350.00 
5299,杰力,508889810.00 
6533,晶心科,506509110.00 
6732,昇佳電子,489126180.00 
3438,類比科,471658150.00 
6693,廣閎科,457200000.00 
6243,迅杰,452688410.00 
6485,點序,451665080.00 
8024,佑華,451601000.00 
6684,安格,446251280.00 
3527,聚積,444451250.00 
6130,上亞科技,443000000.00 
6799,來頡,428551330.00 
6291,沛亨,420000000.00 
6643,M31,418051600.00 
3122,笙泉,405498260.00 
8227,巨有科技,395430000.00 
6548,長科*,380215480.00 
5274,信驊,378206790.00 
6435,大中,373263000.00 
4971,IET-KY,367873430.00 
5468,凱鈺,358229090.00 
6229,研通,356407000.00 
3268,海德威,347207960.00 
6651,全宇昕,346015410.00 
4951,精拓科,341487130.00 
3567,逸昌,339540000.00 
4923,力士,338908000.00 
6457,紘康,318547920.00 
6494,九齊,315596900.00 
6568,宏觀,306120000.00 
6716,應廣,304193140.00 
4945,陞達科技,300218000.00 
6708,天擎,290087790.00 
5487,通泰,242225160.00 
3288,點晶,150000000.00 
5314,世紀,147000000.00 
