代號,名稱,年/月,季底存貨/營收TSE
3708,上緯投控,2022/12,39.00 
3708,上緯投控,2022/09,50.85 
3708,上緯投控,2022/06,55.17 
3708,上緯投控,2022/03,51.44 
3708,上緯投控,2021/12,42.37 
3708,上緯投控,2021/09,59.19 
3708,上緯投控,2021/06,46.62 
3708,上緯投控,2021/03,46.77 
3708,上緯投控,2020/12,29.91 
3708,上緯投控,2020/09,26.31 
3708,上緯投控,2020/06,31.75 
3708,上緯投控,2020/03,74.21 
3708,上緯投控,2019/12,37.13 
3708,上緯投控,2019/09,31.46 
3708,上緯投控,2019/06,35.13 
3708,上緯投控,2019/03,33.35 
3708,上緯投控,2018/12,25.56 
3708,上緯投控,2018/09,38.73 
3708,上緯投控,2018/06,36.61 
3708,上緯投控,2018/03,55.52 
5292,華懋,2022/12,52.13 
5292,華懋,2022/09,70.26 
5292,華懋,2022/06,49.86 
5292,華懋,2022/03,55.24 
5292,華懋,2021/12,24.80 
5292,華懋,2021/06,18.58 
5292,華懋,2020/12,19.64 
5292,華懋,2020/06,15.42 
5292,華懋,2019/12,16.19 
5292,華懋,2019/06,24.57 
5292,華懋,2018/12,9.97 
5292,華懋,2018/06,31.97 
6581,鋼聯,2022/12,20.05 
6581,鋼聯,2022/09,24.38 
6581,鋼聯,2022/06,22.26 
6581,鋼聯,2022/03,43.07 
6581,鋼聯,2021/12,17.11 
6581,鋼聯,2021/09,46.69 
6581,鋼聯,2021/06,29.85 
6581,鋼聯,2021/03,48.55 
6581,鋼聯,2020/12,15.66 
6581,鋼聯,2020/09,43.57 
6581,鋼聯,2020/06,31.70 
6581,鋼聯,2020/03,67.35 
6581,鋼聯,2019/12,29.77 
6581,鋼聯,2019/09,35.84 
6581,鋼聯,2019/06,24.71 
6581,鋼聯,2019/03,46.04 
6581,鋼聯,2018/12,16.13 
6581,鋼聯,2018/09,70.89 
6581,鋼聯,2018/06,24.91 
6581,鋼聯,2018/03,78.14 
6641,基士德-KY,2022/12,31.60 
6641,基士德-KY,2022/09,35.22 
6641,基士德-KY,2022/06,31.05 
6641,基士德-KY,2022/03,39.24 
6641,基士德-KY,2021/12,23.11 
6641,基士德-KY,2021/09,30.78 
6641,基士德-KY,2021/06,29.01 
6641,基士德-KY,2021/03,40.33 
6641,基士德-KY,2020/12,20.19 
6641,基士德-KY,2020/09,27.23 
6641,基士德-KY,2020/06,28.86 
6641,基士德-KY,2020/03,65.50 
6641,基士德-KY,2019/12,26.63 
6641,基士德-KY,2019/09,31.19 
6641,基士德-KY,2019/06,38.92 
6641,基士德-KY,2019/03,48.51 
6641,基士德-KY,2018/12,41.34 
6641,基士德-KY,2018/09,24.45 
6641,基士德-KY,2018/06,29.12 
6641,基士德-KY,2018/03,37.31 
6806,森崴能源,2022/12,0.07 
6806,森崴能源,2022/09,0.42 
6806,森崴能源,2022/06,0.19 
6806,森崴能源,2022/03,0.48 
6806,森崴能源,2021/12,0.02 
6806,森崴能源,2021/09,0.03 
6806,森崴能源,2021/06,0.00 
6806,森崴能源,2021/03,0.00 
6806,森崴能源,2020/12,0.00 
6806,森崴能源,2020/09,0.00 
6806,森崴能源,2020/06,0.00 
6806,森崴能源,2020/03,0.00 
6806,森崴能源,2019/12,0.00 
6806,森崴能源,2019/06,0.00 
6869,雲豹能源,2022/12,7.16 
6869,雲豹能源,2022/09,5.22 
6869,雲豹能源,2022/06,0.42 
6869,雲豹能源,2022/03,0.00 
6869,雲豹能源,2021/12,0.00 
6869,雲豹能源,2021/09,1.17 
6869,雲豹能源,2021/06,0.81 
6869,雲豹能源,2020/12,27.16 
6869,雲豹能源,2020/06,0.00 
6873,泓德能源,2022/12,6.16 
6873,泓德能源,2022/09,79.42 
6873,泓德能源,2022/06,7.94 
6873,泓德能源,2022/03,7.84 
6873,泓德能源,2021/12,2.27 
6873,泓德能源,2021/09,4.71 
6873,泓德能源,2021/06,9.99 
6873,泓德能源,2020/12,1.96 
6873,泓德能源,2020/06,33.48 
6923,中台,2022/12,2.70 
6923,中台,2022/06,5.83 
6923,中台,2021/12,14.34 
6923,中台,2021/06,15.57 
