代號,名稱,年/月,季底存貨/營收TSE
3708,上緯投控,2023/03,51.04 
3708,上緯投控,2023/06,43.66 
3708,上緯投控,2023/09,39.24 
5292,華懋,2023/03,36.12 
5292,華懋,2023/06,63.04 
5292,華懋,2023/09,74.78 
6581,鋼聯,2023/03,66.79 
6581,鋼聯,2023/06,33.54 
6581,鋼聯,2023/09,44.17 
6641,基士德-KY,2023/03,45.52 
6641,基士德-KY,2023/06,35.03 
6641,基士德-KY,2023/09,34.01 
6806,森崴能源,2023/03,0.01 
6806,森崴能源,2023/06,0.03 
6806,森崴能源,2023/09,0.02 
6869,雲豹能源,2023/03,14.30 
6869,雲豹能源,2023/06,2.53 
6869,雲豹能源,2023/09,1.32 
6873,泓德能源,2023/03,50.87 
6873,泓德能源,2023/06,5.95 
6873,泓德能源,2023/09,7.20 
6923,中台,2023/03,8.02 
6923,中台,2023/06,8.56 
8341,日友,2023/03,3.60 
8341,日友,2023/06,2.76 
8341,日友,2023/09,3.17 
8422,可寧衛,2023/03,4.87 
8422,可寧衛,2023/06,4.76 
8422,可寧衛,2023/09,10.21 
8438,昶昕,2023/03,26.66 
8438,昶昕,2023/06,19.99 
8438,昶昕,2023/09,25.04 
8473,山林水,2023/03,0.00 
8473,山林水,2023/06,0.00 
8473,山林水,2023/09,0.00 
8476,台境,2023/03,76.15 
8476,台境,2023/06,26.95 
8476,台境,2023/09,50.31 
9930,中聯資源,2023/03,12.27 
9930,中聯資源,2023/06,12.87 
9930,中聯資源,2023/09,14.10 
9955,佳龍,2023/03,171.57 
9955,佳龍,2023/06,103.28 
9955,佳龍,2023/09,156.99 
3073,天方能源,2023/03,0.00 
3073,天方能源,2023/06,0.00 
3073,天方能源,2023/09,0.00 
3551,世禾,2023/03,23.20 
3551,世禾,2023/06,23.80 
3551,世禾,2023/09,24.05 
3713,新晶投控,2023/03,625.71 
3713,新晶投控,2023/06,151.16 
3713,新晶投控,2023/09,166.81 
5205,中茂,2023/03,10.49 
5205,中茂,2023/06,5.07 
5205,中茂,2023/09,0.00 
5432,新門,2023/03,145.15 
5432,新門,2023/06,90.27 
5432,新門,2023/09,65.62 
6624,萬年清,2023/03,30.95 
6624,萬年清,2023/06,13.32 
6624,萬年清,2023/09,10.25 
6692,進能服,2023/03,18.40 
6692,進能服,2023/06,25.14 
6692,進能服,2023/09,13.36 
6803,崑鼎,2023/03,4.35 
6803,崑鼎,2023/06,4.39 
6803,崑鼎,2023/09,4.58 
6894,衛司特,2023/03,65.72 
6894,衛司特,2023/06,56.40 
6894,衛司特,2023/09,57.50 
8087,麗升能源,2023/03,0.00 
8087,麗升能源,2023/06,0.00 
8087,麗升能源,2023/09,67.85 
8171,天宇,2023/03,132.08 
8171,天宇,2023/06,126.14 
8171,天宇,2023/09,118.05 
8390,金益鼎,2023/03,102.63 
8390,金益鼎,2023/06,98.98 
8390,金益鼎,2023/09,90.31 
8423,保綠-KY,2023/03,34.27 
8423,保綠-KY,2023/06,24.72 
8423,保綠-KY,2023/09,30.27 
8440,綠電,2023/03,28.46 
8440,綠電,2023/06,53.33 
8440,綠電,2023/09,53.66 
