代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
3708,上緯投控,2023/03,18.84 ,6.58 ,18.84 ,6.58 ,1.07 
3708,上緯投控,2023/06,17.97 ,(24.80),17.97 ,(24.80),0.75 
3708,上緯投控,2023/09,17.85 ,(1.81),17.85 ,(1.81),0.98 
8473,山林水,2023/03,12.97 ,(49.41),12.97 ,(49.41),0.51 
8473,山林水,2023/06,14.47 ,(10.96),14.47 ,(10.96),0.89 
8473,山林水,2023/09,24.05 ,231.18 ,24.05 ,231.18 ,3.31 
9930,中聯資源,2023/03,11.74 ,1.53 ,11.74 ,1.53 ,1.02 
9930,中聯資源,2023/06,12.61 ,6.94 ,12.61 ,6.94 ,1.07 
9930,中聯資源,2023/09,12.43 ,14.25 ,12.43 ,14.25 ,1.14 
6581,鋼聯,2023/03,46.77 ,(35.55),46.77 ,(35.55),0.64 
6581,鋼聯,2023/06,43.09 ,(53.14),43.09 ,(53.14),0.47 
6581,鋼聯,2023/09,30.83 ,(62.20),30.83 ,(62.20),0.38 
6806,森崴能源,2023/03,11.49 ,80.58 ,11.49 ,80.58 ,1.81 
6806,森崴能源,2023/06,10.96 ,31.72 ,10.96 ,31.72 ,1.32 
6806,森崴能源,2023/09,10.54 ,202.51 ,10.54 ,202.51 ,3.03 
6869,雲豹能源,2023/03,24.23 ,3.20 ,22.26 ,11.04 ,1.11 
6869,雲豹能源,2023/06,21.10 ,38.53 ,20.69 ,55.10 ,1.55 
6869,雲豹能源,2023/09,18.25 ,(9.60),17.66 ,5.70 ,1.06 
6873,泓德能源,2023/03,32.60 ,38.46 ,30.91 ,43.47 ,1.43 
6873,泓德能源,2023/06,19.66 ,74.75 ,18.43 ,77.33 ,1.77 
6873,泓德能源,2023/09,24.61 ,23.87 ,23.17 ,39.30 ,1.39 
