代號,名稱,實收資本額(元)
3708,上緯投控,1109513190.00 
5292,華懋,382800000.00 
6581,鋼聯,1112708870.00 
6641,基士德-KY,370000000.00 
6806,森崴能源,2246429020.00 
6869,雲豹能源,1371771920.00 
6873,泓德能源,1171552060.00 
6923,中台,918880000.00 
8341,日友,1300000000.00 
8422,可寧衛,1093393600.00 
8438,昶昕,699430000.00 
8473,山林水,1752294060.00 
8476,台境,831131790.00 
9930,中聯資源,2485403680.00 
9955,佳龍,1045137290.00 
3073,天方能源,320995560.00 
3551,世禾,567748900.00 
3713,新晶投控,780900000.00 
5205,中茂,105000000.00 
5432,新門,206878040.00 
6624,萬年清,208800000.00 
6692,進能服,581738900.00 
6803,崑鼎,722424400.00 
6894,衛司特,238000000.00 
8087,麗升能源,390109650.00 
8171,天宇,774642820.00 
8390,金益鼎,961161280.00 
8423,保綠-KY,404990580.00 
8440,綠電,437002590.00 
