代號,名稱,年/月,季底存貨/營收TSE
2314,台揚,2022/12,191.60 
2314,台揚,2022/09,182.94 
2314,台揚,2022/06,252.16 
2314,台揚,2022/03,264.06 
2314,台揚,2021/12,233.37 
2314,台揚,2021/09,194.20 
2314,台揚,2021/06,140.23 
2314,台揚,2021/03,109.26 
2314,台揚,2020/12,100.43 
2314,台揚,2020/09,111.50 
2314,台揚,2020/06,85.44 
2314,台揚,2020/03,103.51 
2314,台揚,2019/12,60.00 
2314,台揚,2019/09,82.04 
2314,台揚,2019/06,73.63 
2314,台揚,2019/03,72.89 
2314,台揚,2018/12,61.17 
2314,台揚,2018/09,65.87 
2314,台揚,2018/06,79.75 
2314,台揚,2018/03,94.71 
2321,東訊,2022/12,83.85 
2321,東訊,2022/09,78.67 
2321,東訊,2022/06,77.59 
2321,東訊,2022/03,71.76 
2321,東訊,2021/12,77.66 
2321,東訊,2021/09,56.46 
2321,東訊,2021/06,54.90 
2321,東訊,2021/03,53.17 
2321,東訊,2020/12,52.66 
2321,東訊,2020/09,50.07 
2321,東訊,2020/06,47.94 
2321,東訊,2020/03,69.66 
2321,東訊,2019/12,52.90 
2321,東訊,2019/09,90.36 
2321,東訊,2019/06,60.08 
2321,東訊,2019/03,63.25 
2321,東訊,2018/12,47.31 
2321,東訊,2018/09,45.05 
2321,東訊,2018/06,48.08 
2321,東訊,2018/03,49.33 
2332,友訊,2022/12,92.04 
2332,友訊,2022/09,89.97 
2332,友訊,2022/06,93.38 
2332,友訊,2022/03,74.43 
2332,友訊,2021/12,77.85 
2332,友訊,2021/09,88.05 
2332,友訊,2021/06,94.38 
2332,友訊,2021/03,64.82 
2332,友訊,2020/12,58.79 
2332,友訊,2020/09,53.79 
2332,友訊,2020/06,73.87 
2332,友訊,2020/03,52.95 
2332,友訊,2019/12,63.67 
2332,友訊,2019/09,76.59 
2332,友訊,2019/06,79.16 
2332,友訊,2019/03,71.22 
2332,友訊,2018/12,67.58 
2332,友訊,2018/09,65.50 
2332,友訊,2018/06,53.16 
2332,友訊,2018/03,56.83 
2345,智邦,2022/12,57.61 
2345,智邦,2022/09,60.38 
2345,智邦,2022/06,75.70 
2345,智邦,2022/03,92.46 
2345,智邦,2021/12,77.26 
2345,智邦,2021/09,81.47 
2345,智邦,2021/06,86.16 
2345,智邦,2021/03,76.35 
2345,智邦,2020/12,52.05 
2345,智邦,2020/09,60.28 
2345,智邦,2020/06,86.12 
2345,智邦,2020/03,82.78 
2345,智邦,2019/12,62.12 
2345,智邦,2019/09,53.77 
2345,智邦,2019/06,69.99 
2345,智邦,2019/03,78.71 
2345,智邦,2018/12,59.99 
2345,智邦,2018/09,67.48 
2345,智邦,2018/06,74.92 
2345,智邦,2018/03,75.42 
2412,中華電,2022/12,19.02 
2412,中華電,2022/09,23.06 
2412,中華電,2022/06,21.12 
2412,中華電,2022/03,24.39 
2412,中華電,2021/12,18.91 
2412,中華電,2021/09,25.71 
2412,中華電,2021/06,23.23 
2412,中華電,2021/03,24.65 
2412,中華電,2020/12,20.86 
2412,中華電,2020/09,29.07 
2412,中華電,2020/06,37.94 
2412,中華電,2020/03,36.92 
2412,中華電,2019/12,31.40 
2412,中華電,2019/09,35.18 
2412,中華電,2019/06,30.45 
2412,中華電,2019/03,27.09 
2412,中華電,2018/12,27.25 
2412,中華電,2018/09,26.59 
2412,中華電,2018/06,22.25 
2412,中華電,2018/03,20.66 
2419,仲琦,2022/12,104.72 
2419,仲琦,2022/09,146.08 
2419,仲琦,2022/06,160.25 
2419,仲琦,2022/03,197.19 
2419,仲琦,2021/12,146.50 
2419,仲琦,2021/09,164.86 
2419,仲琦,2021/06,153.49 
2419,仲琦,2021/03,122.36 
2419,仲琦,2020/12,110.35 
2419,仲琦,2020/09,96.76 
2419,仲琦,2020/06,91.89 
2419,仲琦,2020/03,158.12 
2419,仲琦,2019/12,71.50 
2419,仲琦,2019/09,82.83 
2419,仲琦,2019/06,82.25 
2419,仲琦,2019/03,128.18 
2419,仲琦,2018/12,95.77 
2419,仲琦,2018/09,105.82 
2419,仲琦,2018/06,131.72 
2419,仲琦,2018/03,79.31 
2424,隴華,2022/12,29.87 
2424,隴華,2022/09,104.39 
2424,隴華,2022/06,85.49 
2424,隴華,2022/03,130.51 
2424,隴華,2021/12,
2424,隴華,2021/09,202.10 
2424,隴華,2021/06,513.01 
2424,隴華,2021/03,280.02 
2424,隴華,2020/12,234.93 
2424,隴華,2020/09,404.50 
2424,隴華,2020/06,184.00 
2424,隴華,2020/03,148.41 
2424,隴華,2019/12,105.24 
2424,隴華,2019/09,124.87 
2424,隴華,2019/06,12.84 
2424,隴華,2019/03,133.82 
2424,隴華,2018/12,142.18 
2424,隴華,2018/09,210.97 
2424,隴華,2018/06,64.76 
2424,隴華,2018/03,47.39 
2439,美律,2022/12,47.56 
2439,美律,2022/09,50.33 
2439,美律,2022/06,65.61 
2439,美律,2022/03,89.76 
2439,美律,2021/12,43.55 
2439,美律,2021/09,71.98 
2439,美律,2021/06,52.91 
2439,美律,2021/03,57.00 
2439,美律,2020/12,29.89 
2439,美律,2020/09,41.05 
2439,美律,2020/06,41.05 
2439,美律,2020/03,41.73 
2439,美律,2019/12,24.62 
2439,美律,2019/09,22.23 
2439,美律,2019/06,21.28 
2439,美律,2019/03,37.29 
2439,美律,2018/12,22.96 
2439,美律,2018/09,33.03 
2439,美律,2018/06,40.34 
2439,美律,2018/03,58.21 
2444,兆勁,2022/12,142.29 
2444,兆勁,2022/09,194.59 
2444,兆勁,2022/06,174.97 
2444,兆勁,2022/03,168.84 
2444,兆勁,2021/12,142.41 
2444,兆勁,2021/09,170.81 
2444,兆勁,2021/06,210.77 
2444,兆勁,2021/03,175.54 
2444,兆勁,2020/12,136.38 
2444,兆勁,2020/09,150.54 
2444,兆勁,2020/06,204.53 
2444,兆勁,2020/03,152.22 
2444,兆勁,2019/12,117.33 
2444,兆勁,2019/09,122.74 
2444,兆勁,2019/06,157.03 
2444,兆勁,2019/03,150.29 
2444,兆勁,2018/12,87.13 
2444,兆勁,2018/09,176.68 
2444,兆勁,2018/06,93.42 
2444,兆勁,2018/03,101.80 
2450,神腦,2022/12,32.94 
2450,神腦,2022/09,34.59 
2450,神腦,2022/06,35.29 
2450,神腦,2022/03,35.07 
2450,神腦,2021/12,28.35 
2450,神腦,2021/09,32.73 
2450,神腦,2021/06,25.63 
2450,神腦,2021/03,28.99 
2450,神腦,2020/12,26.10 
2450,神腦,2020/09,36.89 
2450,神腦,2020/06,32.08 
2450,神腦,2020/03,31.37 
2450,神腦,2019/12,25.88 
2450,神腦,2019/09,28.98 
2450,神腦,2019/06,28.53 
2450,神腦,2019/03,26.88 
2450,神腦,2018/12,25.10 
2450,神腦,2018/09,30.84 
2450,神腦,2018/06,31.92 
2450,神腦,2018/03,29.22 
2455,全新,2022/12,96.15 
2455,全新,2022/09,107.38 
2455,全新,2022/06,73.62 
2455,全新,2022/03,60.75 
2455,全新,2021/12,47.44 
2455,全新,2021/09,43.12 
2455,全新,2021/06,47.20 
2455,全新,2021/03,44.34 
2455,全新,2020/12,49.17 
2455,全新,2020/09,61.58 
2455,全新,2020/06,68.37 
2455,全新,2020/03,55.37 
2455,全新,2019/12,44.42 
2455,全新,2019/09,55.96 
2455,全新,2019/06,66.71 
2455,全新,2019/03,86.48 
2455,全新,2018/12,76.81 
2455,全新,2018/09,77.35 
2455,全新,2018/06,62.16 
2455,全新,2018/03,60.02 
2485,兆赫,2022/12,134.49 
2485,兆赫,2022/09,128.46 
2485,兆赫,2022/06,169.61 
2485,兆赫,2022/03,151.20 
2485,兆赫,2021/12,121.29 
2485,兆赫,2021/09,113.72 
2485,兆赫,2021/06,108.74 
2485,兆赫,2021/03,104.17 
2485,兆赫,2020/12,60.62 
2485,兆赫,2020/09,68.02 
2485,兆赫,2020/06,72.03 
2485,兆赫,2020/03,109.17 
2485,兆赫,2019/12,64.78 
2485,兆赫,2019/09,54.80 
2485,兆赫,2019/06,65.44 
2485,兆赫,2019/03,85.51 
2485,兆赫,2018/12,75.73 
2485,兆赫,2018/09,70.76 
2485,兆赫,2018/06,66.89 
2485,兆赫,2018/03,81.47 
2498,宏達電,2022/12,116.86 
2498,宏達電,2022/09,159.00 
2498,宏達電,2022/06,171.82 
