代號,名稱,年/月,季底存貨/營收TSE
2314,台揚,2023/03,178.19 
2314,台揚,2023/06,187.29 
2314,台揚,2023/09,275.07 
2321,東訊,2023/03,105.93 
2321,東訊,2023/06,80.22 
2321,東訊,2023/09,73.93 
2332,友訊,2023/03,98.12 
2332,友訊,2023/06,113.21 
2332,友訊,2023/09,110.18 
2345,智邦,2023/03,65.61 
2345,智邦,2023/06,64.36 
2345,智邦,2023/09,63.22 
2412,中華電,2023/03,22.18 
2412,中華電,2023/06,20.15 
2412,中華電,2023/09,23.04 
2419,仲琦,2023/03,138.91 
2419,仲琦,2023/06,107.27 
2419,仲琦,2023/09,217.47 
2424,隴華,2023/03,72.09 
2424,隴華,2023/06,146.00 
2424,隴華,2023/09,157.78 
2439,美律,2023/03,64.12 
2439,美律,2023/06,45.04 
2439,美律,2023/09,56.60 
2444,兆勁,2023/03,189.01 
2444,兆勁,2023/06,184.15 
2444,兆勁,2023/09,115.16 
2450,神腦,2023/03,34.84 
2450,神腦,2023/06,30.17 
2450,神腦,2023/09,36.17 
2455,全新,2023/03,123.09 
2455,全新,2023/06,78.81 
2455,全新,2023/09,63.86 
2485,兆赫,2023/03,162.11 
2485,兆赫,2023/06,145.94 
2485,兆赫,2023/09,134.29 
2498,宏達電,2023/03,140.76 
2498,宏達電,2023/06,123.24 
2498,宏達電,2023/09,120.69 
3025,星通,2023/03,208.79 
3025,星通,2023/06,262.23 
3025,星通,2023/09,310.30 
3027,盛達,2023/03,107.06 
3027,盛達,2023/06,48.79 
3027,盛達,2023/09,66.02 
3045,台灣大,2023/03,18.35 
3045,台灣大,2023/06,15.23 
3045,台灣大,2023/09,17.23 
3047,訊舟,2023/03,133.57 
3047,訊舟,2023/06,128.32 
3047,訊舟,2023/09,131.93 
3062,建漢,2023/03,165.73 
3062,建漢,2023/06,185.03 
3062,建漢,2023/09,105.91 
3138,耀登,2023/03,78.77 
3138,耀登,2023/06,89.55 
3138,耀登,2023/09,66.90 
3311,閎暉,2023/03,53.41 
3311,閎暉,2023/06,47.51 
3311,閎暉,2023/09,51.81 
3380,明泰,2023/03,119.94 
3380,明泰,2023/06,95.79 
3380,明泰,2023/09,137.10 
3419,譁裕,2023/03,91.43 
3419,譁裕,2023/06,81.77 
3419,譁裕,2023/09,59.95 
3447,展達,2023/03,111.42 
3447,展達,2023/06,137.82 
3447,展達,2023/09,184.26 
3596,智易,2023/03,141.92 
3596,智易,2023/06,111.29 
3596,智易,2023/09,103.72 
3669,圓展,2023/03,101.56 
3669,圓展,2023/06,59.39 
3669,圓展,2023/09,60.40 
3694,海華,2023/03,91.78 
3694,海華,2023/06,69.32 
3694,海華,2023/09,66.05 
3704,合勤控,2023/03,83.28 
3704,合勤控,2023/06,84.53 
3704,合勤控,2023/09,80.77 
4904,遠傳,2023/03,15.01 
4904,遠傳,2023/06,8.67 
4904,遠傳,2023/09,10.25 
4906,正文,2023/03,70.97 
4906,正文,2023/06,59.81 
4906,正文,2023/09,76.12 
4977,眾達-KY,2023/03,86.32 
4977,眾達-KY,2023/06,73.68 
4977,眾達-KY,2023/09,141.18 
5388,中磊,2023/03,107.34 
5388,中磊,2023/06,98.41 
5388,中磊,2023/09,105.96 
6136,富爾特,2023/03,58.88 
6136,富爾特,2023/06,62.20 
6136,富爾特,2023/09,66.31 
6142,友勁,2023/03,103.28 
6142,友勁,2023/06,98.58 
6142,友勁,2023/09,155.90 
6152,百一,2023/03,109.63 
6152,百一,2023/06,83.86 
6152,百一,2023/09,153.42 
6216,居易,2023/03,176.17 
6216,居易,2023/06,100.10 
6216,居易,2023/09,93.68 
6285,啟碁,2023/03,92.52 
6285,啟碁,2023/06,85.05 
6285,啟碁,2023/09,81.00 
6416,瑞祺電通,2023/03,235.30 
6416,瑞祺電通,2023/06,219.84 
6416,瑞祺電通,2023/09,222.17 
6426,統新,2023/03,168.01 
6426,統新,2023/06,168.68 
6426,統新,2023/09,135.45 
6442,光聖,2023/03,109.74 
6442,光聖,2023/06,92.52 
6442,光聖,2023/09,75.60 
6674,鋐寶科技,2023/03,293.81 
6674,鋐寶科技,2023/06,363.74 
6674,鋐寶科技,2023/09,208.81 
6792,詠業,2023/03,112.45 
6792,詠業,2023/06,91.24 
6792,詠業,2023/09,78.82 
6863,永道-KY,2023/03,103.94 
6863,永道-KY,2023/06,122.61 
6863,永道-KY,2023/09,91.86 
8011,台通,2023/03,125.45 
8011,台通,2023/06,169.79 
8011,台通,2023/09,151.24 
8101,華冠,2023/03,236.17 
8101,華冠,2023/06,159.14 
8101,華冠,2023/09,173.58 
3081,聯亞,2023/03,110.88 
3081,聯亞,2023/06,137.67 
3081,聯亞,2023/09,187.15 
3095,及成,2023/03,69.87 
3095,及成,2023/06,48.11 
3095,及成,2023/09,43.82 
3152,璟德,2023/03,48.91 
3152,璟德,2023/06,37.20 
3152,璟德,2023/09,33.77 
3163,波若威,2023/03,43.46 
3163,波若威,2023/06,34.64 
3163,波若威,2023/09,37.96 
3221,台嘉碩,2023/03,103.84 
3221,台嘉碩,2023/06,86.50 
3221,台嘉碩,2023/09,59.51 
3234,光環,2023/03,291.03 
3234,光環,2023/06,248.97 
3234,光環,2023/09,238.70 
3306,鼎天,2023/03,60.74 
3306,鼎天,2023/06,84.36 
3306,鼎天,2023/09,95.86 
3363,上詮,2023/03,92.07 
3363,上詮,2023/06,97.63 
3363,上詮,2023/09,82.95 
3466,德晉,2023/03,57.64 
3466,德晉,2023/06,40.03 
3466,德晉,2023/09,68.00 
3491,昇達科,2023/03,45.13 
3491,昇達科,2023/06,55.76 
3491,昇達科,2023/09,46.42 
3499,環天科,2023/03,197.16 
3499,環天科,2023/06,224.58 
3499,環天科,2023/09,293.20 
3558,神準,2023/03,72.91 
3558,神準,2023/06,79.53 
3558,神準,2023/09,74.79 
3564,其陽,2023/03,152.28 
3564,其陽,2023/06,156.06 
