代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
2345,智邦,2023/03,21.90 ,44.64 ,21.90 ,44.64 ,1.45 
2345,智邦,2023/06,22.35 ,10.38 ,22.35 ,10.38 ,1.10 
2345,智邦,2023/09,23.03 ,13.92 ,23.03 ,13.92 ,1.14 
2498,宏達電,2023/03,40.77 ,(4.76),40.77 ,(4.76),0.95 
2498,宏達電,2023/06,41.38 ,19.84 ,41.38 ,19.84 ,1.20 
2498,宏達電,2023/09,41.40 ,6.98 ,41.40 ,6.98 ,1.07 
3047,訊舟,2023/03,22.44 ,(21.76),22.44 ,(21.76),0.78 
3047,訊舟,2023/06,24.52 ,(28.45),24.52 ,(28.45),0.72 
3047,訊舟,2023/09,27.57 ,(31.49),27.57 ,(31.49),0.69 
3704,合勤控,2023/03,21.56 ,39.91 ,21.56 ,39.91 ,1.40 
3704,合勤控,2023/06,21.17 ,3.17 ,21.17 ,3.17 ,1.03 
3704,合勤控,2023/09,22.31 ,(21.90),22.31 ,(21.90),0.78 
4906,正文,2023/03,9.06 ,33.43 ,9.06 ,33.43 ,1.33 
4906,正文,2023/06,12.40 ,42.27 ,12.40 ,42.27 ,1.42 
4906,正文,2023/09,10.43 ,(2.41),10.43 ,(2.41),0.98 
5388,中磊,2023/03,13.69 ,30.61 ,13.69 ,30.61 ,1.31 
5388,中磊,2023/06,14.63 ,14.22 ,14.63 ,14.22 ,1.14 
5388,中磊,2023/09,17.79 ,14.73 ,17.79 ,14.73 ,1.15 
6245,立端,2023/03,33.30 ,52.89 ,33.30 ,52.89 ,1.53 
6245,立端,2023/06,32.59 ,7.62 ,32.59 ,7.62 ,1.08 
6245,立端,2023/09,36.04 ,(16.60),36.04 ,(16.60),0.83 
2444,兆勁,2023/03,11.37 ,(32.23),11.37 ,(32.23),0.68 
2444,兆勁,2023/06,5.14 ,(58.04),5.14 ,(58.04),0.42 
2444,兆勁,2023/09,10.74 ,(32.57),10.74 ,(32.57),0.67 
3221,台嘉碩,2023/03,23.40 ,(38.66),23.40 ,(38.65),0.61 
3221,台嘉碩,2023/06,20.86 ,(72.35),20.86 ,(72.35),0.28 
3221,台嘉碩,2023/09,32.30 ,(1.24),32.29 ,(1.27),0.99 
2439,美律,2023/03,12.01 ,(2.43),12.01 ,(2.43),0.98 
2439,美律,2023/06,12.39 ,3.38 ,12.39 ,3.38 ,1.03 
2439,美律,2023/09,13.99 ,(4.13),13.99 ,(4.13),0.96 
2455,全新,2023/03,39.05 ,(57.58),39.05 ,(57.58),0.42 
2455,全新,2023/06,39.67 ,(22.26),39.67 ,(22.26),0.78 
2455,全新,2023/09,39.97 ,38.63 ,39.97 ,38.63 ,1.39 
2485,兆赫,2023/03,4.71 ,4786.24 ,4.71 ,4786.24 ,48.86 
2485,兆赫,2023/06,8.75 ,15.42 ,8.75 ,15.42 ,1.15 
2485,兆赫,2023/09,14.27 ,49.93 ,14.27 ,49.93 ,1.50 
3027,盛達,2023/03,27.53 ,6.59 ,27.53 ,6.59 ,1.07 
3027,盛達,2023/06,18.73 ,91.80 ,18.73 ,91.80 ,1.92 
3027,盛達,2023/09,24.16 ,63.68 ,24.16 ,63.68 ,1.64 
3419,譁裕,2023/03,16.77 ,39.64 ,16.77 ,39.64 ,1.40 
3419,譁裕,2023/06,16.34 ,(31.48),16.34 ,(31.48),0.69 
3419,譁裕,2023/09,13.10 ,(60.78),13.10 ,(60.78),0.39 
3596,智易,2023/03,14.21 ,10.72 ,14.21 ,10.72 ,1.11 
3596,智易,2023/06,14.22 ,14.83 ,14.22 ,14.83 ,1.15 
3596,智易,2023/09,14.42 ,11.19 ,14.42 ,11.19 ,1.11 
3694,海華,2023/03,12.93 ,9.27 ,12.93 ,9.27 ,1.09 
3694,海華,2023/06,13.06 ,31.86 ,13.06 ,31.86 ,1.32 
3694,海華,2023/09,13.50 ,(15.36),13.50 ,(15.36),0.85 
6285,啟碁,2023/03,11.10 ,37.50 ,11.10 ,37.50 ,1.38 
6285,啟碁,2023/06,12.14 ,27.68 ,12.14 ,27.68 ,1.28 
6285,啟碁,2023/09,13.48 ,16.71 ,13.48 ,16.71 ,1.17 
4979,華星光,2023/03,14.78 ,146.65 ,14.78 ,146.65 ,2.47 
4979,華星光,2023/06,19.10 ,(0.89),19.10 ,(0.89),0.99 
4979,華星光,2023/09,20.86 ,61.70 ,20.86 ,61.70 ,1.62 
