代號,名稱,實收資本額(元)
2314,台揚,2520283200.00 
2321,東訊,302719290.00 
2332,友訊,6024514730.00 
2345,智邦,5611178970.00 
2412,中華電,77574465450.00 
2419,仲琦,3213172290.00 
2424,隴華,574250000.00 
2439,美律,2552333140.00 
2444,兆勁,1015695730.00 
2450,神腦,2582526570.00 
2455,全新,1849059180.00 
2485,兆赫,3176890370.00 
2498,宏達電,8325649860.00 
3025,星通,567364400.00 
3027,盛達,1158855610.00 
3045,台灣大,37232618110.00 
3047,訊舟,2237008580.00 
3062,建漢,3304454180.00 
3138,耀登,503173630.00 
3311,閎暉,680000000.00 
3380,明泰,5417184600.00 
3419,譁裕,1204804170.00 
3447,展達,773101200.00 
3596,智易,2203543210.00 
3669,圓展,929199500.00 
3694,海華,1525548080.00 
3704,合勤控,4111444700.00 
4904,遠傳,36057053570.00 
4906,正文,4276079620.00 
4977,眾達-KY,801898410.00 
5388,中磊,3000495420.00 
6136,富爾特,1155364120.00 
6142,友勁,3307792150.00 
6152,百一,1677384630.00 
6216,居易,955833870.00 
6285,啟碁,4852534190.00 
6416,瑞祺電通,733484600.00 
6426,統新,385090000.00 
6442,光聖,756000000.00 
6674,鋐寶科技,673356700.00 
6792,詠業,478753250.00 
6863,永道-KY,748880000.00 
8011,台通,1659218910.00 
8101,華冠,226662160.00 
3081,聯亞,925311770.00 
3095,及成,146800000.00 
3152,璟德,690162000.00 
3163,波若威,805407410.00 
3221,台嘉碩,1039774100.00 
3234,光環,1114746920.00 
3306,鼎天,506077020.00 
3363,上詮,1036405870.00 
3466,德晉,614920730.00 
3491,昇達科,638573620.00 
3499,環天科,549705960.00 
3558,神準,590608810.00 
3564,其陽,591231000.00 
3632,研勤,408897380.00 
3664,安瑞-KY,573481900.00 
3672,康聯訊,317903750.00 
3684,榮昌,300016740.00 
4903,聯光通,1040515360.00 
4905,台聯電,292600440.00 
4908,前鼎,782169070.00 
4909,新復興,933568640.00 
4979,華星光,1408397940.00 
5348,正能量智能,147759170.00 
5353,台林,751980000.00 
6109,亞元,678254140.00 
6143,振曜,875068970.00 
6163,華電網,1410502340.00 
6170,統振,996700380.00 
6190,萬泰科,1636597150.00 
6218,豪勉,642620000.00 
6241,易通展,487000000.00 
6245,立端,1462003030.00 
6263,普萊德,625009640.00 
6417,韋僑,422740000.00 
6465,威潤,522816750.00 
6470,宇智,376941000.00 
6486,互動,508932860.00 
6530,創威,337500000.00 
6546,正基,668368460.00 
6561,是方,778663700.00 
6588,東典光電,267008250.00 
8034,榮群,565863530.00 
8048,德勝,577837520.00 
8059,凱碩,1928315000.00 
8089,康全電訊,586655270.00 
8097,常珵,660644680.00 
8176,智捷,717010000.00 
