代號,名稱,年/月,季底存貨/營收TSE
2301,光寶科,2022/12,64.39 
2301,光寶科,2022/09,68.11 
2301,光寶科,2022/06,71.55 
2301,光寶科,2022/03,75.93 
2301,光寶科,2021/12,72.47 
2301,光寶科,2021/09,73.55 
2301,光寶科,2021/06,70.42 
2301,光寶科,2021/03,70.66 
2301,光寶科,2020/12,59.53 
2301,光寶科,2020/09,59.16 
2301,光寶科,2020/06,55.89 
2301,光寶科,2020/03,65.29 
2301,光寶科,2019/12,53.56 
2301,光寶科,2019/09,51.94 
2301,光寶科,2019/06,57.15 
2301,光寶科,2019/03,64.49 
2301,光寶科,2018/12,62.40 
2301,光寶科,2018/09,61.77 
2301,光寶科,2018/06,54.14 
2301,光寶科,2018/03,58.30 
2305,全友,2022/12,154.41 
2305,全友,2022/09,130.21 
2305,全友,2022/06,268.09 
2305,全友,2022/03,199.85 
2305,全友,2021/12,113.11 
2305,全友,2021/09,120.51 
2305,全友,2021/06,105.80 
2305,全友,2021/03,109.66 
2305,全友,2020/12,68.14 
2305,全友,2020/09,88.13 
2305,全友,2020/06,75.98 
2305,全友,2020/03,147.06 
2305,全友,2019/12,73.68 
2305,全友,2019/09,109.92 
2305,全友,2019/06,132.60 
2305,全友,2019/03,135.37 
2305,全友,2018/12,94.19 
2305,全友,2018/09,110.54 
2305,全友,2018/06,101.42 
2305,全友,2018/03,154.16 
2324,仁寶,2022/12,44.87 
2324,仁寶,2022/09,45.57 
2324,仁寶,2022/06,55.89 
2324,仁寶,2022/03,50.84 
2324,仁寶,2021/12,31.27 
2324,仁寶,2021/09,38.80 
2324,仁寶,2021/06,45.47 
2324,仁寶,2021/03,33.87 
2324,仁寶,2020/12,28.79 
2324,仁寶,2020/09,38.88 
2324,仁寶,2020/06,32.82 
2324,仁寶,2020/03,48.34 
2324,仁寶,2019/12,29.32 
2324,仁寶,2019/09,44.44 
2324,仁寶,2019/06,35.31 
2324,仁寶,2019/03,43.71 
2324,仁寶,2018/12,28.24 
2324,仁寶,2018/09,40.62 
2324,仁寶,2018/06,31.66 
2324,仁寶,2018/03,34.65 
2331,精英,2022/12,60.63 
2331,精英,2022/09,40.21 
2331,精英,2022/06,35.85 
2331,精英,2022/03,60.59 
2331,精英,2021/12,45.03 
2331,精英,2021/09,62.92 
2331,精英,2021/06,64.25 
2331,精英,2021/03,64.24 
2331,精英,2020/12,52.01 
