代號,名稱,年/月,營業毛利率,營業毛利成長率,已實現銷貨毛利率,已實現銷貨毛利成長率,已實現銷貨毛利成長率(%)
2382,廣達,2023/03,6.60 ,9.56 ,6.60 ,9.60 ,1.10 
2382,廣達,2023/06,8.52 ,69.96 ,8.52 ,69.97 ,1.70 
2382,廣達,2023/09,8.11 ,8.36 ,8.11 ,8.29 ,1.08 
2356,英業達,2023/03,4.93 ,3.33 ,4.93 ,3.33 ,1.03 
2356,英業達,2023/06,4.61 ,1.61 ,4.61 ,1.61 ,1.02 
2356,英業達,2023/09,5.21 ,(3.50),5.21 ,(3.50),0.97 
2353,宏碁,2023/03,10.22 ,(39.43),10.22 ,(39.43),0.61 
2353,宏碁,2023/06,10.74 ,(21.83),10.74 ,(21.83),0.78 
2353,宏碁,2023/09,10.81 ,11.17 ,10.81 ,11.17 ,1.11 
4938,和碩,2023/03,3.26 ,(9.53),3.26 ,(9.53),0.90 
4938,和碩,2023/06,3.75 ,(27.36),3.75 ,(27.36),0.73 
4938,和碩,2023/09,3.85 ,(24.35),3.85 ,(24.35),0.76 
2352,佳世達,2023/03,15.85 ,1.55 ,15.85 ,1.55 ,1.02 
2352,佳世達,2023/06,16.31 ,(8.37),16.31 ,(8.37),0.92 
2352,佳世達,2023/09,16.63 ,(3.14),16.63 ,(3.14),0.97 
2395,研華,2023/03,39.73 ,12.24 ,39.73 ,12.24 ,1.12 
2395,研華,2023/06,41.19 ,7.92 ,41.19 ,7.92 ,1.08 
2395,研華,2023/09,40.09 ,(11.25),40.09 ,(11.25),0.89 
2376,技嘉,2023/03,12.65 ,(54.98),12.65 ,(54.98),0.45 
2376,技嘉,2023/06,11.82 ,(1.69),11.82 ,(1.69),0.98 
2376,技嘉,2023/09,13.27 ,63.70 ,13.27 ,63.70 ,1.64 
6235,華孚,2023/03,30.19 ,88.38 ,30.19 ,88.38 ,1.88 
6235,華孚,2023/06,32.56 ,102.80 ,32.56 ,102.80 ,2.03 
6235,華孚,2023/09,31.57 ,52.74 ,31.57 ,52.74 ,1.53 
6669,緯穎,2023/03,8.33 ,57.94 ,8.33 ,57.94 ,1.58 
6669,緯穎,2023/06,8.81 ,(20.82),8.81 ,(20.82),0.79 
6669,緯穎,2023/09,9.57 ,(21.56),9.57 ,(21.56),0.78 
2399,映泰,2023/03,9.69 ,(44.87),9.69 ,(44.87),0.55 
2399,映泰,2023/06,8.06 ,(43.79),8.06 ,(43.79),0.56 
2399,映泰,2023/09,6.20 ,(17.50),6.20 ,(17.50),0.83 
3022,威強電,2023/03,33.24 ,36.43 ,33.24 ,36.44 ,1.36 
3022,威強電,2023/06,35.98 ,13.86 ,35.95 ,13.91 ,1.14 
3022,威強電,2023/09,39.42 ,(25.07),39.32 ,(25.27),0.75 
3211,順達,2023/03,7.66 ,(15.77),7.66 ,(15.77),0.84 
3211,順達,2023/06,8.01 ,(5.35),8.01 ,(5.35),0.95 
3211,順達,2023/09,10.73 ,1.31 ,10.73 ,1.31 ,1.01 
6128,上福,2023/03,40.96 ,0.66 ,40.96 ,0.66 ,1.01 
6128,上福,2023/06,41.70 ,(11.93),41.70 ,(11.93),0.88 
6128,上福,2023/09,41.25 ,0.61 ,41.25 ,0.61 ,1.01 
3515,華擎,2023/03,16.61 ,(46.70),16.61 ,(46.70),0.53 
3515,華擎,2023/06,20.09 ,(0.32),20.09 ,(0.32),1.00 
3515,華擎,2023/09,20.12 ,50.58 ,20.12 ,50.58 ,1.51 
2397,友通,2023/03,21.86 ,17.81 ,21.86 ,17.81 ,1.18 
2397,友通,2023/06,20.72 ,(0.96),20.72 ,(0.96),0.99 
2397,友通,2023/09,18.16 ,(20.28),18.16 ,(20.28),0.80 
5258,虹堡,2023/03,34.35 ,43.02 ,34.35 ,43.02 ,1.43 
5258,虹堡,2023/06,31.93 ,20.48 ,31.93 ,20.48 ,1.20 
5258,虹堡,2023/09,29.47 ,4.07 ,29.47 ,4.07 ,1.04 
3709,鑫聯大投控,2023/03,5.45 ,(18.08),5.45 ,(18.08),0.82 
3709,鑫聯大投控,2023/06,5.11 ,6.73 ,5.11 ,6.73 ,1.07 
3709,鑫聯大投控,2023/09,5.28 ,8.08 ,5.28 ,8.08 ,1.08 
8163,達方,2023/03,18.13 ,(10.85),18.13 ,(10.85),0.89 
8163,達方,2023/06,17.53 ,(9.32),17.53 ,(9.32),0.91 
8163,達方,2023/09,17.26 ,(7.85),17.26 ,(7.85),0.92 
3060,銘異,2023/03,(0.88),(103.58),(0.88),(103.58),-0.04 
3060,銘異,2023/06,9.51 ,(64.57),9.51 ,(64.57),0.35 
3060,銘異,2023/09,10.12 ,7.53 ,10.12 ,7.53 ,1.08 
2324,仁寶,2023/03,4.46 ,(4.43),4.46 ,(4.43),0.96 
2324,仁寶,2023/06,4.35 ,10.00 ,4.35 ,10.00 ,1.10 
2324,仁寶,2023/09,4.46 ,2.26 ,4.46 ,2.26 ,1.02 
3231,緯創,2023/03,7.01 ,16.07 ,7.01 ,16.07 ,1.16 
3231,緯創,2023/06,7.56 ,(4.29),7.56 ,(4.29),0.96 
3231,緯創,2023/09,7.85 ,(4.65),7.85 ,(4.65),0.95 
2301,光寶科,2023/03,18.79 ,(9.13),18.79 ,(9.13),0.91 
2301,光寶科,2023/06,23.27 ,(1.13),23.27 ,(1.13),0.99 
2301,光寶科,2023/09,23.60 ,4.76 ,23.60 ,4.76 ,1.05 
3706,神達,2023/03,12.29 ,(10.46),12.29 ,(10.46),0.90 
3706,神達,2023/06,11.11 ,(3.11),11.11 ,(3.11),0.97 
3706,神達,2023/09,11.52 ,(24.47),11.52 ,(24.47),0.76 
2357,華碩,2023/03,9.62 ,(58.49),9.62 ,(59.49),0.41 
2357,華碩,2023/06,13.98 ,(9.05),13.98 ,(5.59),0.94 
2357,華碩,2023/09,18.30 ,34.86 ,18.30 ,34.85 ,1.35 
2362,藍天,2023/03,19.98 ,(18.44),19.98 ,(18.44),0.82 
2362,藍天,2023/06,20.44 ,(2.92),20.44 ,(2.92),0.97 
2362,藍天,2023/09,20.43 ,4.22 ,20.43 ,4.22 ,1.04 
3005,神基,2023/03,25.34 ,16.52 ,25.34 ,16.52 ,1.17 
3005,神基,2023/06,27.57 ,27.23 ,27.57 ,27.23 ,1.27 
